char,sent_n,token_i,word
4,1,1,United
11,1,2,States
18,1,3,Food
27,1,5,Drug
32,1,6,Administration
51,1,8,announced
72,1,12,moving
79,1,13,forward
90,1,15,approving
109,1,20,counter
118,1,22,OTC
123,1,24,sale
135,1,27,emergency
145,1,28,contraceptive
159,1,29,pill
166,1,32,Plan
171,1,33,B
177,1,36,women
192,1,39,years
201,1,41,age
210,2,44,delayed
218,2,45,approval
235,2,48,drug
249,2,51,raised
263,2,54,Senate
270,2,55,confirmation
283,2,56,hearings
296,2,58,President
306,2,59,Bush
313,2,61,nominee
329,2,64,head
341,2,67,FDA
350,2,70,Andrew
360,2,72,von
364,2,73,Eschenbach
377,3,76,Emergency
387,3,77,contraceptives
408,3,80,known
418,3,83,morning
432,3,86,pills
451,3,91,prevent
462,3,93,unintended
473,3,94,pregnancy
490,3,97,unprotected
502,3,98,intercourse
518,3,100,occurred
528,4,102,They
533,4,103,usually
541,4,104,contain
549,4,105,high
554,4,106,doses
572,4,110,drugs
595,4,115,regular
603,4,116,contraceptive
617,4,117,pills
626,5,120,While
641,5,123,considered
655,5,125,contraceptives
677,5,128,medical
685,5,129,establishment
706,5,132,law
715,5,135,classified
741,5,140,FDA
751,5,143,abortion
760,5,144,opponents
770,5,145,object
780,5,147,ECs
792,5,150,believe
810,5,153,constitute
821,5,154,abortion
831,6,156,Some
836,6,157,groups
843,6,158,object
853,6,160,emergency
863,6,161,contraception
877,6,162,believing
895,6,165,encourages
906,6,166,sexual
913,6,167,exploitation
929,6,169,young
935,6,170,girls
950,6,173,religious
960,6,174,conservatives
974,6,175,object
995,6,180,believe
1011,6,183,promotes
1020,6,184,promiscuous
1032,6,185,behavior
1042,7,187,Proponents
1060,7,190,use
1064,7,191,contend
1083,7,195,merely
1092,7,197,form
1100,7,199,contraception
1119,7,202,point
1140,7,206,forms
1155,7,210,condoms
1166,7,212,birth
1172,7,214,control
1180,7,215,pills
1190,7,217,widely
1215,7,222,use
1219,7,223,serves
1229,7,225,important
1239,7,226,purpose
1251,7,229,cases
1269,7,232,contraceptives
1289,7,234,failed
1297,7,236,eg
1303,8,239,condom
1313,8,241,torn
1325,8,245,prevent
1333,8,246,conception
1349,8,249,rape
1354,8,250,victim
1362,9,252,Approval
1375,9,254,OTC
1379,9,255,sale
1399,9,259,drug
1409,9,261,easily
1416,9,262,available
1436,9,266,considered
1447,9,267,important
1464,9,270,drug
1477,9,273,taken
1493,9,276,hours
1502,9,278,intercourse
1520,9,281,effective
1537,10,285,FDA
1543,10,287,approval
1552,10,288,process
1568,10,291,Plan
1573,10,292,B
1575,10,293,pills
1588,10,296,contain
1600,10,298,drug
1605,10,299,Levonorgestrel
1628,10,302,manufactured
1644,10,304,Duramed
1655,10,307,subsidiary
1669,10,309,Barr
1674,10,310,Laboratories
1696,10,313,mired
1705,10,315,controversy
1747,10,323,American
1756,10,324,Medical
1764,10,325,Association
1776,10,326,announced
1786,10,327,support
1798,10,329,OTC
1802,10,330,availability
1816,11,332,Last
1821,11,333,year
1831,11,336,FDA
1835,11,337,rejected
1848,11,339,manufacturer
1863,11,341,request
1874,11,343,approve
1886,11,345,pill
1895,11,347,OTC
1899,11,348,sale
1905,11,350,citing
1912,11,351,concerns
1927,11,354,potential
1937,11,355,behavioral
1948,11,356,implications
1965,11,358,younger
1973,11,359,adolescents
1991,12,363,decision
2004,12,365,criticised
2018,12,367,advocates
2031,12,369,EC
2043,12,372,based
2052,12,374,political
2062,12,375,considerations
2089,12,378,scientific
2100,12,379,reasons
2113,13,382,Government
2124,13,383,Accountability
2139,13,384,Office
2149,13,387,congressional
2163,13,388,watchdog
2177,13,390,faulted
2189,13,392,decision
2198,13,393,process
2211,14,396,FDA
2224,14,399,revised
2236,14,401,minimum
2244,14,402,age
2251,14,404,customers
2288,15,415,Currently
2303,15,418,Senate
2310,15,419,Health
2318,15,421,Education
2329,15,423,Labor
2339,15,425,Pensions
2348,15,426,Committee
2361,15,428,holding
2369,15,429,hearings
2385,15,432,confirmation
2405,15,435,FDA
2409,15,436,Commissioner
2422,15,437,nominee
2435,15,440,von
2439,15,441,Eschenbach
2451,16,443,Senators
2460,16,444,Patty
2480,16,448,Hillary
2504,16,452,held
2516,16,455,approval
2525,16,456,pending
2533,16,457,progress
2549,16,460,pill
2556,16,462,approval
2565,16,463,process
2574,17,465,Plan
2579,17,466,B
2585,17,468,endorsed
2606,17,472,committee
2622,17,474,years
2628,17,475,ago
2645,17,479,denied
2652,17,480,approval
2665,17,482,OTC
2669,17,483,sale
2677,17,485,higher
2684,17,486,officials
2701,17,489,FDA
2706,18,491,During
2717,18,493,nomination
2740,18,497,FDA
2744,18,498,Commissioner
2762,18,501,Lester
2772,18,503,Crawford
2782,18,505,Senators
2791,18,506,raised
2802,18,508,issue
2812,18,510,went
2817,18,511,ahead
2832,18,514,nomination
2849,18,516,getting
2857,18,517,assurances
2877,18,520,drug
2884,18,522,approval
2902,18,525,given
2913,18,528,timely
2920,18,529,manner
2932,19,532,deadlines
2942,19,533,set
2960,19,537,met
2966,20,540,Senator
2974,20,541,Clinton
2986,20,543,reported
2998,20,545,saying
3007,20,548,Like
3028,20,553,government
3046,20,556,past
3062,20,560,half
3067,20,561,years
3086,20,566,turned
3100,20,569,political
3110,20,570,football
3138,20,577,field
3145,21,579,This
3168,21,584,Plan
3176,22,586,Once
3184,22,588,start
3190,22,589,politicizing
3226,22,595,stopping
3236,23,597,It
3242,23,599,essential
3260,23,602,draw
3267,23,604,line
3284,23,609,drawing
3294,23,611,line
3299,23,612,right
3313,24,617,In
3320,24,619,confirmation
3333,24,620,hearings
3347,24,623,Von
3351,24,624,Eschenbach
3362,24,625,said
3385,24,630,political
3395,24,631,orders
3405,24,633,scientific
3416,24,634,matters
3426,25,637,No
3433,25,639,told
3446,25,642,I
3472,25,650,said
3484,26,654,FDA
3488,26,655,statement
3498,26,656,said
3512,26,659,latest
3519,26,660,decision
3535,26,663,approve
3543,26,664,OTC
3547,26,665,sale
3561,26,669,result
3573,26,672,thoughtful
3588,26,674,comprehensive
3602,26,675,scientific
3617,26,677,public
3624,26,678,policy
3631,26,679,process
3639,26,680,undertaken
3657,26,683,Agency
3667,26,685,resolve
3679,26,687,novel
3689,26,689,significant
3701,26,690,issues
3708,26,691,presented
3725,26,694,Sponsor
3735,26,696,amended
3743,26,697,application
3758,27,701,Sale
3766,27,703,oral
3771,27,704,contraceptives
3796,27,706,continues
3809,27,708,require
3817,27,709,prescription
3835,27,712,state
3841,27,714,licensed
3850,27,715,doctor
3858,27,717,according
3871,27,719,FDA
3875,27,720,regulation
