char,sent_n,token_i,word
0,1,0,Walking
8,1,1,outside
21,1,3,morning
34,1,6,average
42,1,7,seasoned
51,1,8,Texan
62,1,10,notice
79,1,12,amiss
93,1,16,eerie
99,1,17,quiet
110,2,20,droning
121,2,22,air
125,2,23,conditioners
142,2,25,insects
154,2,27,stopped
163,2,29,replaced
181,2,32,scent
190,2,34,hardwood
199,2,35,smoke
211,2,38,slight
218,2,39,shiver
227,3,42,A
229,3,43,pocket
239,3,45,Arctic
246,3,46,air
250,3,47,finally
258,3,48,pushed
287,3,53,Gulf
295,3,55,Mexico
303,3,57,plunging
312,3,58,temperatures
336,3,61,state
364,4,68,While
374,4,70,chilliest
384,4,71,lows
397,4,74,expected
409,4,76,stay
434,4,82,days
440,4,84,forecasters
456,4,86,expecting
466,4,87,Texas
473,4,89,normal
480,4,90,fall
485,4,91,pattern
498,4,94,cooler
523,4,98,week
531,4,100,continue
541,5,102,Average
549,5,103,weekly
556,5,104,temperatures
576,5,106,reach
582,5,107,steadily
591,5,108,lower
604,5,111,season
611,5,112,progresses
624,6,115,Stormy
631,6,116,Weather
640,7,118,As
646,7,120,added
652,7,121,bonus
667,7,125,rain
672,7,126,trickled
691,7,129,San
695,7,130,Antonio
718,7,134,Texas
724,7,135,cities
732,8,137,This
737,8,138,rain
746,8,140,relieved
755,8,141,areas
777,8,145,dry
785,8,147,months
