char,sent_n,token_i,word
4,1,1,current
12,1,2,financial
22,1,3,crisis
34,1,5,recently
43,1,6,caused
54,1,8,Wielka
61,1,9,Orkiestra
71,1,10,Świątecznej
83,1,11,Pomocy
91,1,13,Great
97,1,14,Orchestra
110,1,16,Christmas
120,1,17,Charity
145,1,24,Polish
152,1,25,charity
160,1,26,organizations
178,1,29,reduce
185,1,30,spending
201,1,33,Great
207,1,34,Finale
214,1,35,events
232,1,39,scheduled
250,1,42,place
259,1,44,January
277,2,49,As
282,2,51,result
294,2,54,major
300,2,55,events
314,2,58,city
322,2,60,Wrocław
341,2,64,canceled
352,3,67,Although
366,3,69,companies
381,3,71,declared
400,3,74,help
410,3,76,organizing
430,3,79,provide
438,3,80,essential
448,3,81,products
461,3,83,volunteers
477,3,86,organizers
501,3,90,need
506,3,91,financial
516,3,92,aid
524,3,94,concerts
543,3,97,mass
548,3,98,events
557,4,101,Every
563,4,102,year
580,4,106,Great
586,4,107,Finale
598,4,110,Orchestra
610,4,112,volunteers
621,4,113,collect
637,4,115,million
645,4,116,zloties
669,4,121,given
686,4,124,health
693,4,126,care
698,4,127,organizations
715,4,129,help
720,4,130,young
726,4,131,patients
736,5,133,Since
763,5,139,Finale
770,5,140,took
775,5,141,place
786,5,144,Orchestra
800,5,146,collected
810,5,147,near
820,5,150,million
834,5,153,million
842,5,154,złoty
