char,sent_n,token_i,word
0,1,0,Finland
11,1,2,considering
23,1,3,toughening
34,1,4,gun
38,1,5,legislation
53,1,7,light
67,1,10,week
74,1,12,Jokela
81,1,13,school
88,1,14,shooting
98,2,16,Nine
103,2,17,people
111,2,19,including
125,2,21,gunman
138,2,24,killed
150,2,26,Pekka
156,2,28,Eric
161,2,29,Auvinen
174,2,33,went
184,2,36,shooting
193,2,37,spree
206,2,40,local
212,2,41,school
221,3,44,Until
232,3,47,Finland
244,3,49,actively
253,3,50,resisted
262,3,51,plans
276,3,54,European
285,3,55,Union
291,3,56,member
298,3,57,states
308,3,59,limit
314,3,60,gun
318,3,61,ownership
331,3,63,persons
339,3,64,aged
357,4,69,Currently
372,4,72,law
376,4,73,stipulates
392,4,75,Finns
402,4,77,apply
414,4,80,gun
418,4,81,permit
428,4,83,age
437,5,87,However
446,5,89,Anne
451,5,90,Holmlund
461,5,92,Finnish
469,5,93,interior
478,5,94,minister
488,5,96,told
493,5,97,reporters
503,5,98,today
515,5,101,Finland
527,5,103,changed
539,5,105,position
555,5,108,EU
558,5,109,firearms
567,5,110,directive
579,6,113,Holmlund
588,6,114,told
597,6,116,press
612,6,119,intention
632,6,123,raise
642,6,125,age
650,6,127,ownership
671,6,132,require
685,6,134,aged
708,6,141,parental
717,6,142,supervision
734,6,144,carrying
754,6,148,firearm
764,7,151,Prime
770,7,152,minister
782,7,154,Finland
790,7,155,Matti
796,7,156,Vanhanen
809,7,158,earlier
817,7,159,commented
836,7,162,shooting
851,7,164,likely
858,7,165,cause
866,7,167,change
876,7,169,Finnish
884,7,170,gun
888,7,171,control
896,7,172,policy
908,7,175,Holmlund
917,7,176,denied
926,7,178,direct
933,7,179,connection
946,8,182,There
958,8,185,direct
965,8,186,link
978,8,190,school
985,8,191,shooting
1000,9,195,It
1006,9,197,important
1025,9,200,new
1029,9,201,position
1041,9,203,clear
1049,9,206,Holmlund
1058,9,207,said
1066,10,211,We
1083,10,215,EU
1086,10,216,member
1093,10,217,country
1110,10,220,willing
1130,10,224,regulations
1142,10,225,untouched
1163,10,229,obvious
1183,10,233,left
1196,11,237,She
1200,11,238,added
1209,12,242,As
1222,12,245,EU
1225,12,246,countries
1239,12,248,ready
1248,12,250,accept
1259,12,252,age
1263,12,253,limit
1275,12,256,years
1289,12,259,acquisition
1304,12,261,firearms
1317,13,263,Finland
1334,13,266,want
1342,13,268,oppose
1353,13,270,said
1358,13,271,amendment
1375,13,274,directive
1395,13,277,circumstances
1417,15,283,cabinet
1428,15,285,ready
1437,15,287,agree
1448,15,290,proposal
1463,15,292,says
1488,15,297,years
1494,15,298,old
1502,15,300,use
1508,15,302,gun
1523,15,305,parental
1535,15,307,adult
1541,15,308,guidance
1552,15,311,commented
1562,15,312,cabinet
1570,15,313,spokeswoman
1582,15,314,Sanna
1588,15,315,Kangasharju
1602,16,318,Ministry
1611,16,319,spokesman
1621,16,320,Ilkka
1627,16,321,Salmi
1633,16,322,agreed
1647,16,325,potential
1657,16,326,change
1667,16,328,legislation
1689,16,331,considered
1700,16,332,months
1723,16,336,added
1736,16,340,It
1741,16,342,obvious
1759,16,345,kind
1767,16,347,tragic
1774,16,348,incident
1787,16,350,probably
1796,16,351,sped
1808,16,354,decision
1820,17,358,Auvinen
1832,17,360,obtained
1843,17,362,license
1863,17,366,caliber
1871,17,367,handgun
1885,17,370,local
1891,17,371,shooting
1900,17,372,club
1910,17,374,weeks
1916,17,375,prior
1929,17,378,attack
1940,17,381,October
1952,18,384,He
1955,18,385,opened
1962,18,386,fire
1970,18,388,students
1983,18,390,staff
1989,18,391,shortly
2004,18,393,lunch
2010,18,394,break
2027,18,398,start
2034,18,400,killing
2047,18,402,students
2064,18,405,staff
2070,18,406,members
2087,18,409,gun
2101,18,413,called
2109,18,415,Catherine
2123,18,418,internet
2132,18,419,discussions
2152,18,422,turning
2175,19,427,He
2178,19,428,later
2184,19,429,died
2192,19,431,hospital
2202,20,433,There
2216,20,436,evidence
2228,20,438,attempted
2241,20,440,set
2249,20,442,building
2261,20,444,fire
2268,21,447,Police
2280,21,449,commented
2302,21,453,apparently
2313,21,454,acted
2324,21,456,intent
2334,21,458,kill
2350,21,462,possible
2364,21,465,selected
2377,21,467,victims
2388,21,469,random
2400,22,472,day
2404,22,473,prior
2417,22,476,incident
2430,22,479,posted
2439,22,481,video
2448,22,483,YouTube
2456,22,484,announcing
2471,22,486,intentions
2483,23,488,Police
2500,23,491,recovered
2512,23,493,suicide
2520,23,494,note
2530,23,496,said
2543,23,499,hated
2549,23,500,society
2559,24,503,In
2562,24,504,related
2570,24,505,news
2576,24,507,police
2587,24,509,investigating
2610,24,512,internet
2619,24,513,posting
2627,24,514,claimed
2635,24,515,Kirkkoharju
2647,24,516,middle
2654,24,517,school
2664,24,519,Kirkkonummi
2680,24,521,going
2696,24,525,subject
2715,24,528,attack
2723,25,530,Police
2743,25,534,treating
2756,25,536,incident
2771,25,540,bad
2775,25,541,joke
2783,26,545,Finnish
2791,26,546,gun
2795,26,547,ownership
2809,26,549,capita
2829,26,553,highest
2844,26,556,world
2855,26,559,largely
2868,26,562,long
2873,26,563,tradition
2886,26,565,hunting
2894,26,566,sports
2908,26,569,country
2921,26,572,fatal
2927,26,573,attacks
2939,26,575,exceedingly
2951,26,576,rare
2957,27,578,Around
2979,27,584,million
2987,27,585,inhabitants
3005,27,588,gun
3024,27,593,United
3031,27,594,States
3042,27,596,Yemen
3048,27,597,having
3055,27,598,higher
3062,27,599,levels
3072,27,601,gun
3076,27,602,ownership
