char,sent_n,token_i,word
4,1,1,Finnish
12,1,2,Parliamentary
26,1,3,Ombudsman
40,1,5,found
54,1,8,infant
61,1,9,formula
69,1,10,study
84,1,13,conducted
97,1,15,thousands
110,1,17,newborns
130,1,20,hospitals
148,1,22,obtaining
158,1,23,informed
167,1,24,consent
184,1,27,parents
206,1,32,informed
222,1,35,commercial
233,1,36,funding
249,1,39,study
256,2,41,Additionally
274,2,44,study
284,2,46,found
303,2,50,started
315,2,52,carried
335,2,56,months
350,2,59,ethical
358,2,60,committee
368,2,61,approval
382,2,64,suffered
402,2,67,shortcomings
