char,sent_n,token_i,word
0,1,0,A
2,1,1,fast
7,1,3,moving
14,1,4,fire
19,1,5,engulfed
32,1,7,home
40,1,9,late
45,1,10,singer
52,1,11,Johnny
59,1,12,Cash
67,1,14,Tuesday
80,2,17,lake
90,2,20,home
96,2,22,located
107,2,24,Hendersonville
123,2,26,Tennessee
142,2,30,home
154,2,33,late
159,2,34,singer
174,2,37,wife
180,2,39,June
185,2,40,Carter
202,2,44,late
225,2,48,deaths
246,3,54,home
255,3,56,purchased
275,3,59,Bee
279,3,60,Gees
284,3,61,singer
291,3,62,Barry
297,3,63,Gibb
319,3,69,undergoing
330,3,70,renovations
349,3,73,time
359,4,76,cause
372,4,79,fire
380,4,81,unknown
396,4,84,time
412,4,89,believed
428,4,92,flammable
438,4,93,wood
443,4,94,preservative
461,4,96,construction
474,4,97,workers
486,4,99,applied
494,4,100,contributed
513,4,103,speed
532,4,107,flames
539,4,108,spread
547,5,110,Firefighters
560,5,111,responded
579,5,114,minutes
594,5,117,fire
599,5,118,breaking
613,6,121,No
616,6,122,workers
629,6,124,killed
643,6,127,fire
657,6,131,firefighter
669,6,132,suffered
678,6,133,minor
684,6,134,injuries
696,7,138,Maybe
711,7,142,good
716,7,143,Lord
723,7,145,way
735,7,148,sure
757,7,153,Johnny
766,7,155,house
774,7,158,said
779,7,159,Richard
787,7,160,Sterban
802,7,163,Oak
806,7,164,Ridge
812,7,165,Boys
822,7,168,lived
837,7,171,road
847,7,173,Cash
853,8,175,Neighbor
862,8,176,Marty
868,8,177,Stewart
876,8,178,said
882,8,180,So
890,8,182,prominent
900,8,183,things
911,8,185,prominent
921,8,186,people
931,8,188,American
940,8,189,history
948,8,190,took
953,8,191,place
989,8,196,Billy
995,8,197,Graham
1005,8,199,Bob
1009,8,200,Dylan
1015,8,201,went
1030,8,204,house
1042,9,208,home
1057,9,211,Cash
1062,9,212,wrote
1080,9,216,hit
1084,9,217,songs
1095,9,220,appeared
1111,9,223,Cash
1116,9,224,music
1122,9,225,video
1133,9,228,Hurt
