char,sent_n,token_i,word
0,1,0,A
2,1,1,Palestinian
14,1,2,man
18,1,3,carrying
27,1,4,explosives
38,1,5,blew
61,1,9,rush
66,1,10,hour
74,1,12,Beersheba
85,2,14,This
103,2,18,act
110,2,20,suicidal
119,2,21,bombing
137,2,24,Israel
144,2,25,pull
163,2,30,Jewish
170,2,31,settlements
189,2,34,Gaza
194,2,35,Strip
202,3,38,Twelve
209,3,39,hours
225,3,42,blast
236,3,45,groups
243,3,46,jointly
251,3,47,claimed
259,3,48,responsibility
282,3,51,attack
294,4,54,Al
297,4,56,Aqsa
313,4,59,Brigades
322,4,60,linked
332,4,62,Fatah
342,4,64,Al
345,4,66,Quds
350,4,67,Brigades
362,4,69,Islamic
370,4,70,Jihad
376,4,71,identified
391,4,73,bomber
401,4,75,Alaa
406,4,76,Zaakik
423,4,81,Beit
428,4,82,Omar
434,5,84,Beit
439,5,85,Omar
447,5,87,situated
464,5,89,Bethlehem
478,5,91,Hebron
492,5,94,West
497,5,95,Bank
508,6,99,Palestinian
520,6,100,president
531,6,102,Mahmoud
539,6,103,Abbas
550,6,106,condemned
564,6,108,bombing
577,7,111,bombing
585,7,112,critically
596,7,113,wounded
608,7,115,security
617,7,116,guards
631,7,119,Beersheba
641,7,120,bus
645,7,121,station
657,7,123,hurt
673,7,126,people
682,8,129,Shortly
700,8,132,attack
712,8,135,Israeli
720,8,136,cabinet
728,8,137,voted
737,8,139,allow
743,8,140,Egypt
752,8,142,patrol
763,8,144,international
777,8,145,border
789,8,147,Gaza
803,8,150,armed
809,8,151,men
814,9,153,A
816,9,154,final
822,9,155,vote
837,9,159,expected
849,9,161,pass
859,9,164,special
867,9,165,Israeli
875,9,166,Parliament
886,9,167,session
897,9,169,Wednesday
913,9,172,allow
919,9,173,Israel
929,9,175,pull
942,9,178,soldiers
958,9,181,Gaza
975,9,185,month
983,10,188,An
986,10,189,Israeli
994,10,190,official
1004,10,192,Raanan
1011,10,193,Gissin
1019,10,195,aide
1027,10,197,prime
1033,10,198,minister
1042,10,199,Ariel
1048,10,200,Sharon
1056,10,202,commented
1073,10,205,bombing
1082,11,207,He
1085,11,208,described
1099,11,210,attack
1112,11,214,wake
1130,11,219,brings
1152,11,224,reality
1163,11,226,terrorism
1183,11,229,euphoria
1199,11,232,Gaza
1204,11,233,disengagement
1220,12,236,He
1223,12,237,later
1229,12,238,said
1236,12,241,As
1239,12,242,long
1251,12,245,Palestinians
1275,12,249,decisive
1284,12,250,action
1299,12,252,terrorism
1319,12,255,continue
1333,12,258,Abbas
1341,12,260,strategy
1353,12,262,making
1360,12,263,political
1370,12,264,deals
1381,12,266,terrorist
1391,12,267,organizations
1410,12,269,come
1423,12,272,haunt
1439,13,277,Gissin
1446,13,278,concluded
1460,13,280,statement
1473,13,282,saying
1482,14,285,They
1487,14,286,smell
1503,14,290,weak
1526,14,296,pressing
