char,sent_n,token_i,word
0,1,0,Five
5,1,1,prisoners
20,1,3,beheaded
33,1,5,got
43,1,7,heads
49,1,8,exhibited
66,1,11,rioters
83,1,14,violent
91,1,15,riot
104,1,19,Zwinglio
113,1,20,Ferreira
123,1,22,Prison
131,1,24,located
142,1,26,Presidente
153,1,27,Venceslau
169,1,30,Paulo
175,1,31,State
182,1,33,Brazil
191,2,36,This
216,2,41,riot
224,2,43,prisoners
244,2,47,year
249,2,48,existence
266,2,51,penitentiary
284,3,54,rebellion
294,3,55,began
300,3,56,Tuesday
329,3,63,finished
338,3,64,Wednesday
361,4,68,Some
366,4,69,heads
372,4,70,belonging
389,4,73,murdered
398,4,74,prisoners
420,4,78,iron
425,4,79,spears
449,4,84,shown
464,4,87,roof
476,4,90,prison
484,5,92,Some
489,5,93,prisoners
499,5,94,played
506,5,95,football
531,5,100,heads
540,6,103,According
553,6,105,Nagashi
561,6,106,Furukawa
575,6,109,secretary
592,6,112,administration
614,6,115,prison
626,6,118,rebellion
636,6,119,originated
658,6,122,prisoners
677,6,125,contrary
693,6,128,criminal
702,6,129,organization
715,6,130,Primeiro
724,6,131,Comando
732,6,132,da
735,6,133,Capital
744,6,135,PCC
754,7,139,supporters
768,7,141,PCC
772,7,142,killed
785,7,144,opponents
