char,sent_n,token_i,word
0,1,0,RSPCA
6,1,1,inspectors
17,1,2,found
33,1,5,cattle
40,1,6,dead
50,1,9,remote
57,1,10,station
68,1,12,Western
76,1,13,Australia
87,2,15,Water
102,2,18,trucked
116,2,21,care
138,2,25,cattle
148,2,27,Windidda
157,2,28,station
166,2,30,east
174,2,32,Wilun
190,2,36,leased
203,2,39,Aboriginal
214,2,40,corporation
228,3,43,State
234,3,44,Agriculture
246,3,45,Minister
255,3,46,Kim
259,3,47,Chance
266,3,48,says
275,3,50,propery
287,3,52,found
293,3,53,abandoned
323,3,59,property
337,3,62,watering
346,3,63,stations
360,3,65,working
375,4,70,lease
384,4,72,owned
396,4,75,aboriginal
407,4,76,corporation
429,4,81,precise
440,4,83,identity
456,4,86,corporation
471,4,88,somewhat
480,4,89,obscure
490,4,92,Mr
493,4,93,Chance
500,4,94,said
507,5,97,WA
510,5,98,RSPCA
516,5,99,spokesperson
529,6,100,Kelly
535,6,101,Oversby
543,6,102,said
562,6,106,shocking
571,6,107,discovery
590,6,110,anonymous
600,6,111,tip
612,7,117,Experienced
624,7,118,inspectors
640,7,120,told
658,7,125,worst
664,7,126,case
672,7,128,animal
679,7,129,cruelty
702,7,133,seen
709,7,136,Ms
712,7,137,Overby
719,7,138,said
727,8,142,As
742,8,146,cattle
750,8,148,brumbies
760,8,150,camels
768,8,152,dogs
777,8,154,kangaroos
796,8,157,perished
