char,sent_n,token_i,word
0,1,0,Yevgenia
9,1,1,Tymoshenko
24,1,3,announced
38,1,5,mother
53,1,8,Ukrainian
63,1,9,Prime
69,1,10,Minister
78,1,11,Yulia
84,1,12,Tymoshenko
102,1,16,end
110,1,18,hunger
117,1,19,strike
130,1,21,nineteen
139,1,22,days
145,2,24,Yulia
153,2,26,lawyer
161,2,28,Serhiy
168,2,29,Vlasenko
178,2,31,cited
193,2,35,happening
210,2,38,country
230,2,42,happening
250,2,46,prison
261,2,49,reasons
277,2,52,commencing
292,2,54,fast
304,3,58,politician
318,3,60,serving
328,3,62,seven
334,3,64,year
339,3,65,sentence
352,3,67,abuse
361,3,69,office
368,3,70,arising
383,3,73,gas
387,3,74,deal
397,3,76,Russia
418,3,80,Prime
424,3,81,Minister
434,4,83,She
442,4,85,accused
450,4,86,jail
455,4,87,guards
465,4,89,assaulting
486,4,92,transporting
508,4,96,hospital
541,4,102,treatment
560,4,105,pain
579,4,109,reportedly
595,4,111,experiencing
612,4,113,months
620,5,115,In
627,5,117,incident
637,5,119,Vlasenko
646,5,120,said
651,5,121,Tymoshenko
663,5,123,naturally
673,5,124,got
677,5,125,scared
685,5,127,began
691,5,128,resisting
718,5,133,received
729,5,135,punch
742,5,138,stomach
754,5,140,passed
767,5,144,referring
782,5,147,bruise
795,5,149,remains
803,5,150,present
818,5,153,body
826,6,156,Adherents
839,6,158,Tymoshenko
855,6,160,publicised
866,6,161,pictures
875,6,162,showing
883,6,163,bruising
899,6,166,politician
912,6,168,body
918,7,170,Corrections
930,7,171,officers
944,7,173,refuted
952,7,174,claims
968,7,177,responsibility
984,8,179,Kharkiv
992,8,180,regional
1001,8,181,prosecutor
1013,8,183,Henadiy
1021,8,184,Tyurin
1029,8,186,confirmed
1048,8,190,picked
1059,8,193,carried
1074,8,196,car
1082,8,198,taken
1095,8,201,hospital
1109,8,204,insisted
1120,8,207,According
1137,8,210,law
1149,8,213,prison
1156,8,214,service
1172,8,217,right
1181,8,219,use
1185,8,220,physical
1194,8,221,measures
1206,9,225,Tymoshenko
1221,9,227,scheduled
1234,9,229,appear
1246,9,232,fresh
1252,9,233,trial
1264,9,236,tax
1268,9,237,evasion
1276,9,238,charge
1287,9,240,day
1306,9,244,taken
1315,9,246,hospital
1325,10,248,In
1328,10,249,theory
1340,10,252,hearing
1363,10,256,imprisonment
1376,10,257,extended
1392,10,260,year
1407,11,264,trial
1422,11,267,postponed
1435,11,269,May
1443,12,272,She
1456,12,275,accept
1467,12,277,broke
1477,12,279,law
1488,12,282,boss
1498,12,285,Ukrainian
1508,12,286,gas
1512,12,287,company
1535,13,293,Tymoshenko
1550,13,295,refused
1561,13,297,accept
1568,13,298,medical
1576,13,299,treatment
1591,13,301,Ukrainian
1601,13,302,doctors
1622,13,306,problems
1645,13,311,given
1651,13,312,permission
1665,13,314,travel
1681,13,317,current
1689,13,318,prison
1699,13,320,Kharkiv
1712,13,323,hospital
1733,13,327,city
1738,13,328,yesterday
1749,14,330,There
1768,14,335,assisted
1780,14,337,German
1787,14,338,doctor
1794,14,339,Lutz
1799,14,340,Harms
1817,14,346,begin
1823,14,347,bringing
