char,sent_n,token_i,word
9,1,2,Army
14,1,3,installation
30,1,5,Fort
35,1,6,Lee
42,1,8,Virginia
56,1,10,begin
70,1,13,program
78,1,14,called
85,1,15,RAPIDGate
105,1,18,replace
113,1,19,passes
120,1,20,issued
130,1,22,non
134,1,24,military
143,1,25,persons
155,1,27,regularly
165,1,28,require
173,1,29,access
187,1,32,facility
201,2,35,program
219,2,38,effect
226,2,39,July
244,2,44,practice
256,2,46,issuing
271,2,48,passes
281,2,50,people
292,2,52,present
302,2,54,valid
308,2,55,driver
317,2,57,license
326,2,59,vehicle
334,2,60,registration
352,2,63,proof
361,2,65,insurance
379,2,68,vehicle
396,2,71,access
403,2,72,ends
409,3,74,Those
415,3,75,passes
430,3,78,grandfathered
456,3,82,expire
469,4,86,RAPIDGate
479,4,87,program
491,4,89,fast
496,4,90,entry
507,4,92,Fort
512,4,93,Lee
516,4,94,replaces
539,4,98,access
546,4,99,privileges
557,4,100,performed
574,4,103,installation
601,4,107,came
606,4,108,free
614,4,110,cost
624,5,113,new
628,5,114,outsourced
639,5,115,program
647,5,116,administered
663,5,118,Portland
673,5,120,Oregon
680,5,122,based
686,5,123,Eid
690,5,124,Passport
705,5,127,enhances
714,5,128,security
730,5,131,installation
746,5,133,performing
757,5,134,background
768,5,135,checks
776,6,137,Their
782,6,138,service
790,6,139,comes
801,6,142,price
812,7,145,screening
822,7,146,process
830,7,147,makes
842,7,151,year
847,7,152,felony
854,7,153,background
865,7,154,check
872,7,156,performs
883,7,158,check
897,7,160,terrorist
911,7,162,sexual
918,7,163,offender
927,7,164,watch
933,7,165,lists
951,7,170,social
958,7,171,security
967,7,172,cross
973,7,173,reference
986,7,175,validate
997,7,177,person
1006,7,179,identity
1017,8,182,Qualified
1027,8,183,applicants
1042,8,185,issued
1051,8,187,pass
1061,8,189,enables
1077,8,192,bypass
1084,8,193,inspection
1095,8,194,pits
1104,8,196,use
1119,8,200,facility
1130,8,202,seven
1136,8,203,gates
1146,8,205,access
1154,9,207,Businesses
1171,9,209,employees
1187,9,211,benefit
1207,9,215,required
1219,9,217,contact
1231,9,219,program
1239,9,220,provider
1258,9,224,point
1267,9,226,contact
1276,9,228,persons
1292,9,231,validate
1304,9,233,applicant
1316,9,235,employment
1328,10,237,Enrollment
1346,10,240,program
1354,10,241,costs
1364,10,243,business
1381,11,247,A
1383,11,248,pass
1397,11,251,employee
1413,11,254,business
1422,11,255,costs
1433,11,258,annually
1447,12,261,pass
1456,12,263,employees
1466,12,264,expires
1482,12,267,year
1495,12,271,new
1499,12,272,background
1510,12,273,check
1519,12,275,required
1535,12,278,program
1550,13,282,program
1563,13,285,voluntary
1573,13,286,alternative
1589,13,288,civilians
1602,13,290,conform
1615,13,292,new
1619,13,293,access
1626,13,294,policies
1635,13,295,mandated
1651,13,298,Department
1665,13,300,Defense
1686,13,304,Army
1692,13,306,according
1708,13,309,information
1720,13,310,pamphlet
1729,13,311,distributed
1748,13,314,base
1754,14,316,A
1756,14,317,kiosk
1770,14,320,set
1780,14,323,Fort
1785,14,324,Lee
1792,14,326,accept
1799,14,327,applications
1817,14,329,process
1827,14,331,photograph
1839,14,333,social
1846,14,334,security
1855,14,335,number
1867,14,338,fingerprint
1881,15,341,Those
1897,15,344,RAPIDGate
1907,15,345,pass
1917,15,347,need
1925,15,349,enter
1935,15,351,fort
1943,15,353,locations
1965,15,356,vehicle
1980,15,359,inspected
1991,16,361,A
1993,16,362,rigorous
2002,16,363,inspection
2013,16,364,involves
2022,16,365,armed
2028,16,366,guards
2035,16,367,asking
2046,16,369,driver
2056,16,371,place
2062,16,372,keys
2074,16,375,dash
2079,16,376,board
2086,16,378,pop
2094,16,380,hood
2107,16,383,trunk
2114,16,385,open
2123,16,387,glove
2129,16,388,box
2147,16,393,occupants
2157,16,394,exit
2166,16,396,vehicle
2178,16,398,open
2187,16,400,doors
2194,16,402,including
2208,16,404,hood
2217,16,406,trunk
2224,17,408,While
2234,17,410,vehicle
2245,17,412,inspected
2255,17,413,inside
2271,17,416,guard
2277,17,417,uses
2284,17,419,mirror
2291,17,420,attached
2305,17,423,wand
2313,17,425,inspect
2331,17,428,chassis
2346,17,431,vehicle
2356,17,433,undercarriage
2372,18,436,Eid
2376,18,437,Passport
2391,18,440,specializes
2406,18,442,identity
2415,18,443,authentication
2434,18,445,background
2445,18,446,screening
2456,19,448,Fort
2461,19,449,Lee
2482,19,454,military
2491,19,455,installation
2514,19,459,estimated
2528,19,461,military
2537,19,462,installations
2558,19,465,soil
2566,19,467,implement
2576,19,468,identity
2585,19,469,screening
2606,19,473,new
2610,19,474,policies
2619,19,475,mandated
2635,19,478,Department
2649,19,480,Defense
