char,sent_n,token_i,word
0,1,0,In
8,1,2,Humberside
19,1,3,Police
30,1,5,describing
47,1,9,nasty
54,1,11,attack
69,1,15,year
74,1,17,old
78,1,18,boy
86,1,20,left
98,1,23,fractured
108,1,24,skull
126,1,27,battered
142,1,30,brick
153,2,33,incident
162,2,34,happened
174,2,36,wasteland
184,2,37,close
197,2,40,child
205,2,42,home
213,2,44,Hessle
221,2,46,East
226,2,47,Yorkshire
239,3,50,Charlie
247,3,51,Davis
257,3,53,discovered
273,3,56,couple
283,3,58,Thursday
293,4,60,He
305,4,64,puddle
315,4,66,blood
337,4,71,ear
345,4,73,hanging
358,4,76,doctors
369,4,78,Hull
374,4,79,Royal
380,4,80,Infirmary
390,4,81,later
396,4,82,performed
406,4,83,surgery
417,4,85,repair
428,5,88,He
443,5,92,hospital
457,5,95,doctors
478,5,99,brain
491,5,102,injured
500,5,104,despite
508,5,105,having
517,5,107,fractured
527,5,108,skull
536,6,111,A
538,6,112,spokeswoman
555,6,114,Humberside
566,6,115,Police
573,6,116,said
580,6,119,This
585,6,120,little
592,6,121,boy
600,6,123,suffered
611,6,125,nasty
617,6,126,attack
637,6,130,horrible
646,6,131,injuries
659,7,135,Police
666,7,136,think
672,7,137,Charlie
689,7,141,playing
704,7,144,friend
716,7,147,molested
730,7,150,male
735,7,151,youth
742,8,153,His
746,8,154,injuries
755,8,155,suggest
771,8,158,dragged
783,8,160,child
800,8,163,ground
808,8,165,kicked
826,8,169,face
832,8,171,tied
846,8,175,tree
855,8,177,struck
873,8,181,brick
886,9,185,police
893,9,186,spokeswoman
905,9,187,added
916,9,189,police
927,9,191,pursuing
944,9,193,lines
953,9,195,inquiry
963,10,198,There
978,10,201,information
990,10,202,suggesting
1001,10,203,possible
1010,10,204,suspects
1029,10,207,form
1045,10,211,lines
1054,10,213,inquiry
1068,10,215,pursued
1084,11,220,assault
1095,11,222,thought
1111,11,225,happened
1127,11,227,lunchtime
1140,11,229,Thursday
1157,11,232,Station
1165,11,233,Road
1179,11,236,near
1188,11,238,Hull
1196,11,240,Hessle
1203,11,241,railway
1211,11,242,line
1218,12,245,It
1224,12,247,currently
1234,12,248,unclear
1250,12,251,child
1256,12,252,got
1267,12,255,area
1273,13,257,He
1285,13,260,gone
1301,13,264,accord
1328,13,270,chased
1361,13,277,taken
1397,13,285,said
1406,13,287,police
1413,13,288,spokeswoman
1428,14,291,Charlie
1445,14,295,meant
1457,14,298,going
1466,14,300,holiday
1483,14,303,family
1490,14,304,today
1504,14,308,disturbed
1517,14,310,talk
1525,14,312,detectives
1546,14,315,incident
1560,15,318,spokeswoman
1572,15,319,said
1579,15,322,We
1585,15,324,understand
1605,15,327,victim
1616,15,329,struck
1630,15,332,brick
1646,15,335,resulted
1662,15,338,injuries
1672,16,340,But
1677,16,342,clearly
1692,16,345,police
1710,16,349,account
1732,16,354,year
1737,16,356,old
1741,16,357,victim
1758,16,361,possible
1770,16,363,confirm
1787,16,366,details
1802,16,369,incident
