char,sent_n,token_i,word
0,1,0,Yesterday
11,1,2,Republican
22,1,3,Fred
27,1,4,Thompson
36,1,5,confirmed
50,1,7,campaign
67,1,10,United
74,1,11,States
81,1,12,presidential
94,1,13,election
119,2,19,expected
128,2,20,announcement
141,2,21,comes
154,2,24,tail
162,2,26,criticism
182,2,29,lobbying
191,2,30,past
212,2,35,waited
223,2,37,long
231,2,39,declare
243,2,41,intentions
255,3,43,He
261,3,45,expected
273,3,47,file
278,3,48,papers
290,3,50,Thursday
311,3,54,candidacy
321,3,55,official
332,4,58,Thompson
346,4,60,expected
355,4,61,declarations
368,4,62,comes
380,4,64,months
391,4,67,testing
403,4,69,waters
412,5,72,Already
420,5,73,appearing
441,5,77,tier
449,5,79,GOP
453,5,80,candidates
465,5,82,Thompson
476,5,84,announcement
489,5,85,comes
501,5,87,staff
507,5,88,changes
519,5,90,lack
524,5,91,luster
531,5,92,fundraising
544,6,94,According
560,6,97,advisor
569,6,99,Thompson
592,6,103,announcement
608,6,105,Leno
613,6,106,opting
627,6,109,appear
641,6,112,Republican
652,6,113,debate
662,6,115,September
