char,sent_n,token_i,word
0,1,0,Voters
10,1,2,French
17,1,3,Guiana
28,1,5,Martinique
39,1,6,voted
50,1,8,referendums
66,1,10,increased
76,1,11,autonomy
90,1,13,France
97,1,14,earlier
105,1,15,today
112,1,17,according
125,1,19,poll
130,1,20,results
140,2,23,In
143,2,24,French
150,2,25,Guiana
165,2,29,turnout
185,2,35,vote
208,2,40,increased
218,2,41,independence
236,2,43,France
247,2,46,Martinique
270,2,52,voter
276,2,53,turnout
289,2,56,polls
312,2,61,extra
318,2,62,autonomy
329,3,65,In
334,3,67,statement
345,3,69,French
352,3,70,President
362,3,71,Nicolas
370,3,72,Sarkozy
378,3,73,hailed
389,3,75,outcome
398,3,77,saying
408,3,79,reflected
422,3,81,strong
429,3,82,ties
446,3,85,territories
462,3,87,metropolitan
475,3,88,France
483,4,90,Both
488,4,91,Martinique
507,4,95,Caribbean
522,4,98,French
529,4,99,Guiana
541,4,101,granted
549,4,102,French
556,4,103,department
567,4,104,status
579,4,106,France
586,4,107,relinquished
599,4,108,total
605,4,109,control
623,4,112,half
630,4,114,century
638,4,115,ago
644,5,118,Supporters
658,5,120,greater
666,5,121,autonomy
690,5,126,argued
711,5,130,allow
721,5,132,territories
733,5,133,greater
748,5,136,key
752,5,137,issues
759,5,138,like
764,5,139,development
777,5,141,education
791,5,143,employment
