char,sent_n,token_i,word
0,1,0,In
12,1,3,World
18,1,4,Cup
22,1,5,final
29,1,7,Fabien
36,1,8,Barthez
46,1,10,mistake
54,1,11,allowed
62,1,12,Materazzi
75,1,14,score
83,1,16,decisive
92,1,17,goal
102,2,21,bald
107,2,22,keeper
125,2,27,remembered
150,2,32,head
155,2,33,kissed
169,2,36,start
183,2,39,international
197,2,40,match
206,2,42,teammate
215,2,43,Laurent
223,2,44,Blanc
234,2,47,desperately
246,2,48,hoping
257,2,50,revenge
273,2,52,Italy
284,2,54,September
301,2,57,Stade
307,2,58,de
310,2,59,France
321,2,61,GrÃ
325,3,63,gory
330,3,64,Coupet
351,3,69,rated
357,3,70,French
364,3,71,football
373,3,72,goalkeeper
394,3,74,pushing
402,3,75,Fabien
412,3,77,retirement
423,3,78,announced
433,3,79,officially
444,3,80,yesterday
