char,sent_n,token_i,word
0,1,0,An
3,1,1,additional
14,1,2,round
23,1,4,new
27,1,5,photos
39,1,8,recuperating
52,1,9,Fidel
58,1,10,Castro
75,1,13,published
92,1,16,Cuban
98,1,17,media
105,2,19,There
120,2,22,international
134,2,23,speculation
153,2,26,state
166,2,29,Cuban
172,2,30,leader
181,2,32,health
197,2,35,temporarily
209,2,36,relinquished
222,2,37,power
232,2,39,weeks
238,2,40,ago
242,2,41,prior
251,2,43,undergoing
262,2,44,intestinal
273,2,45,surgery
282,3,47,Castro
302,3,51,seen
320,3,55,weeks
342,3,60,rumours
362,3,64,dead
370,3,66,nearing
378,3,67,death
390,4,71,official
399,4,72,Communist
409,4,73,Party
415,4,74,daily
421,4,75,Granma
428,4,76,today
434,4,77,published
444,4,78,pictures
456,4,80,Castro
463,4,81,meeting
471,4,82,Venezuelan
482,4,83,president
492,4,84,Hugo
497,4,85,Chavez
511,4,88,Cuban
517,4,89,leader
531,4,92,birthday
541,4,94,yesterday
556,5,97,paper
562,5,98,referred
578,5,101,meeting
596,5,105,hours
605,5,107,emotional
615,5,108,exchange
625,5,110,quoting
633,5,111,Chavez
643,5,113,saying
651,5,115,This
663,5,118,best
668,5,119,visit
674,5,120,I
694,5,126,life
701,6,129,Earlier
710,6,131,acting
717,6,132,Cuban
723,6,133,leader
730,6,134,Raul
735,6,135,Castro
757,6,139,public
764,6,140,appearance
781,6,142,taking
788,6,143,power
802,6,146,welcomed
811,6,147,Chavez
821,6,149,Cuba
833,6,152,airport
846,7,155,brothers
860,7,157,appear
890,7,163,new
894,7,164,photos
908,8,168,earlier
916,8,169,round
925,8,171,pictures
934,8,172,released
943,8,173,Sunday
957,8,176,Juventud
966,8,177,Rebelde
975,8,179,Rebel
981,8,180,Youth
988,8,182,newspaper
1003,8,184,Castro
1010,8,185,speaking
1026,8,188,phone
1036,8,190,holding
1044,8,191,Saturday
1055,8,193,edition
1070,8,196,Communist
1080,8,197,Party
1086,8,198,newspaper
1096,8,199,Granma
1105,9,202,Castro
1117,9,204,released
1128,9,206,statement
1138,9,207,yesterday
1148,9,208,saying
1164,9,211,health
1175,9,213,improved
1197,9,217,recovery
1222,9,221,time
1230,10,225,To
1242,10,228,objective
1252,10,229,stability
1266,10,231,improved
1275,10,232,considerably
1298,10,236,invent
1307,10,238,lie
1312,11,240,To
1315,11,241,affirm
1331,11,244,period
1341,11,246,recovery
1362,11,250,short
1368,11,251,time
1394,11,257,longer
1405,11,259,risk
1419,11,262,absolutely
1430,11,263,incorrect
1445,13,268,I
1447,13,269,ask
1465,13,274,optimistic
1492,13,279,time
1503,13,282,ready
1512,13,284,face
1521,13,286,adverse
1529,13,287,news
1536,13,290,said
1541,13,291,Castro
1558,13,295,thanked
1570,13,297,Cuban
1576,13,298,people
1593,13,301,love
1602,13,303,support
1621,13,306,health
1628,13,307,crisis
1640,14,310,statement
1673,14,316,Cuban
1679,14,317,leader
1692,14,319,undergoing
1703,14,320,surgery
1713,15,323,Granma
1720,15,324,reported
1729,15,325,Saturday
1743,15,327,Castro
1767,15,335,working
1781,16,339,official
1790,16,340,newspaper
1800,16,341,reported
1814,16,343,according
1830,16,346,unnamed
1838,16,347,friend
1848,16,349,Castro
1860,16,352,leader
1874,16,355,revolution
1892,16,358,receiving
1907,16,360,physiotherapy
1922,16,362,took
1937,16,365,steps
1950,16,368,room
1962,16,372,sitting
1975,16,375,coach
1982,16,377,talked
1989,16,378,vividly
2000,17,382,Though
2012,17,384,official
2021,17,385,celebrations
2037,17,387,Castro
2046,17,389,birthday
2065,17,392,postponed
2076,17,394,possibly
2091,17,396,December
2108,17,400,thousand
2122,17,403,wishers
2135,17,405,gathered
2155,17,410,hour
2160,17,411,birthday
2169,17,412,concert
2180,17,414,Havana
2189,17,416,Malecon
2197,17,417,seafront
2206,17,418,boulevard
