char,sent_n,token_i,word
46,1,7,report
53,1,9,Match
80,1,13,Zdebel
87,1,14,Imhof
93,1,15,Concha
100,1,16,Epalle
107,1,17,Mięciel
115,1,18,Maltritz
124,1,19,Drsek
140,1,23,Altintop
149,1,24,Ribéry
156,1,25,Klose
162,1,26,van
166,1,27,Bommel
173,1,28,Altintop
182,1,29,Schweinsteiger
197,1,30,Schweinsteiger
212,1,31,Klose
218,1,32,Podolski
227,1,33,Ribéry
247,1,36,stadium
255,1,38,rewirpower
266,1,39,Stadion
302,1,45,referee
310,2,47,Herbert
318,2,48,Fandel
326,3,50,Bayern
333,3,51,Munich
340,3,52,came
360,3,56,beat
365,3,57,Bochum
379,3,62,extend
392,3,64,lead
404,3,67,points
413,4,70,A
415,4,71,sell
424,4,74,crowd
430,4,75,saw
440,4,78,home
458,4,82,early
464,4,83,lead
481,4,87,minute
489,5,89,Bayern
496,5,90,Munich
507,5,92,blew
514,5,94,string
524,5,96,chances
538,5,98,Franck
545,5,99,Ribery
554,5,101,equaliser
569,5,103,minutes
588,5,106,half
593,5,108,time
600,6,111,Bayern
607,6,112,Munich
614,6,113,found
620,6,114,chances
628,6,115,hard
636,6,117,come
656,6,121,defensive
666,6,122,formation
683,6,125,home
688,6,126,season
706,6,130,half
716,6,133,Bayern
723,6,134,Munich
735,6,136,rewarded
752,6,139,minutes
760,6,140,left
770,6,142,substitute
781,6,143,Bastian
789,6,144,Schweinsteiger
804,6,145,converted
818,6,147,eventual
827,6,148,winner
