char,sent_n,token_i,word
0,1,0,Since
16,1,4,Fulton
23,1,5,Fish
28,1,6,Market
38,1,8,South
44,1,9,Street
54,1,11,Lower
60,1,12,Manhattan
79,1,15,operating
89,1,16,virtually
99,1,17,unchanged
113,1,19,surrounded
136,1,24,changing
145,1,25,NYC
150,2,27,It
156,2,29,expected
171,2,32,relocated
186,2,35,new
194,2,38,million
218,2,42,foot
223,2,43,facility
235,2,45,Hunts
241,2,46,Point
254,2,49,Bronx
260,2,50,beginning
275,2,52,week
282,3,55,Originally
293,3,56,set
301,3,58,January
323,3,63,delayed
342,3,66,month
351,3,68,allow
357,3,69,time
365,3,71,add
374,3,73,safety
385,3,75,security
394,3,76,items
407,3,79,new
411,3,80,facility
423,4,83,Some
428,4,84,restaurant
439,4,85,food
444,4,86,buyers
451,4,87,expressed
461,4,88,concern
488,4,94,new
492,4,95,facility
506,4,97,raise
512,4,98,fishmonger
523,4,99,prices
531,5,101,Fish
536,5,102,stall
542,5,103,owners
549,5,104,agree
564,5,107,raises
577,5,109,overhead
588,6,112,Rudy
593,6,113,Washington
605,6,115,deputy
622,6,118,mayor
628,6,119,Rudy
633,6,120,Giuliani
643,6,122,said
655,6,125,plan
667,6,128,city
675,6,130,open
684,6,132,fish
689,6,133,unloading
699,6,134,operations
715,6,137,bidding
723,6,138,process
738,6,141,new
742,6,142,facility
757,6,144,lead
765,6,146,mafia
771,6,147,control
780,7,149,During
787,7,150,Giuliani
798,7,152,tenure
806,7,154,Washington
824,7,157,charge
838,7,160,cleaning
854,7,163,market
864,7,165,mafia
870,7,166,influence
887,8,170,market
898,8,172,gotten
905,8,173,fish
917,8,176,Long
922,8,177,Island
929,8,178,company
