char,sent_n,token_i,word
4,1,1,surviving
14,1,2,members
25,1,4,satirical
35,1,5,metal
41,1,6,band
46,1,7,GWAR
51,1,8,yesterday
61,1,9,announced
73,1,11,charitable
84,1,12,arts
89,1,13,foundation
115,1,18,Dave
120,1,19,Brockie
129,2,21,Brockie
142,2,25,died
152,2,27,month
160,3,30,Founding
169,3,31,frontman
182,3,33,singer
189,3,34,Brockie
197,3,35,spent
206,3,37,years
212,3,38,leading
221,3,40,Earth
234,3,43,openly
241,3,44,extra
247,3,46,terrestrial
259,3,47,rock
264,3,48,band
277,3,52,actually
286,3,53,hailed
298,3,55,Richmond
308,3,57,Virginia
318,4,59,Their
324,4,60,obscene
332,4,61,lyrics
343,4,63,theatrical
354,4,64,live
359,4,65,shows
365,4,66,brought
373,4,67,fame
381,4,69,Brockie
394,4,72,went
402,4,74,stage
413,4,76,Oderus
420,4,77,Urungus
437,4,81,fellow
444,4,82,Virginia
453,4,83,Commonwealth
466,4,84,University
477,4,85,art
481,4,86,students
507,4,91,band
514,5,94,GWAR
519,5,95,unveiled
532,5,97,foundation
548,5,100,video
554,5,101,statement
564,5,102,yesterday
575,6,104,Amongst
587,6,106,stated
594,6,107,aims
603,6,109,providing
613,6,110,support
624,6,112,artists
643,6,116,acquire
651,6,117,funds
661,6,119,traditional
673,6,120,routes
689,6,124,advancement
704,6,126,music
711,6,128,images
719,6,130,letters
731,6,132,performances
751,6,135,arts
762,7,139,foundation
784,7,143,preserve
793,7,144,Brockie
803,7,146,body
811,7,148,work
820,7,150,promote
832,7,152,legacy
842,8,156,We
851,8,158,like
859,8,160,thank
865,8,161,fans
874,8,163,friends
892,8,166,outpouring
906,8,168,love
917,8,172,band
922,8,173,said
930,9,176,A
932,9,177,public
939,9,178,memorial
952,9,180,Brockie
963,9,182,scheduled
977,9,184,August
996,9,189,annual
1003,9,190,GWAR
1008,9,192,B
1010,9,194,Q
1021,9,198,ahead
1036,9,201,day
1041,10,203,Drawing
1051,10,205,line
1068,10,208,stage
1074,10,209,persona
1090,10,212,man
1098,10,214,played
1113,10,218,band
1118,10,219,add
1123,10,221,Just
1128,10,222,face
1140,12,226,Oderus
1153,12,228,order
1169,12,232,present
1181,12,234,pay
1185,12,235,tribute
1196,12,237,Dave
1201,12,238,Murray
1208,12,239,Brockie
1225,12,243,personal
1234,12,244,slave
1243,13,248,Donations
1272,13,254,GWAR
1277,13,256,B
1279,13,258,Q
1289,13,261,GWAR
1296,13,263,website
1309,14,266,rubber
1316,14,268,costumed
1325,14,269,band
1330,14,270,remains
1341,14,272,publicly
1350,14,273,decide
1370,14,277,continue
1382,14,279,perform
1394,14,281,record
1402,15,283,They
1415,15,286,foundation
1434,15,289,task
1450,15,293,fund
1459,15,295,erect
1467,15,297,monument
1480,15,300,provide
1492,15,302,world
1505,15,305,place
1514,15,307,pay
1518,15,308,respects
1534,15,311,memory
1551,15,315,cherished
1561,15,316,man
