char,sent_n,token_i,word
0,1,0,Flickr
11,1,2,Getty
17,1,3,Images
29,1,5,announced
42,1,7,extension
65,1,11,year
70,1,12,partnership
87,2,15,new
91,2,16,deal
101,2,18,grant
107,2,19,Getty
113,2,20,Images
120,2,21,access
137,2,25,million
145,2,26,registered
156,2,27,users
162,2,28,images
170,3,30,To
173,3,31,protect
181,3,32,privacy
190,3,34,users
201,3,36,opt
214,3,39,project
230,3,42,details
249,3,46,emerge
259,4,49,To
262,4,50,ensure
274,4,52,Getty
280,4,53,Images
299,4,57,free
304,4,58,photographs
321,4,61,owner
334,4,64,image
348,4,67,given
356,4,69,fee
377,4,73,Flickr
387,4,75,Getty
393,4,76,Images
409,4,79,confirmed
430,4,82,rates
445,5,86,It
451,5,88,believed
474,5,93,industry
483,5,94,standard
492,5,95,rate
498,5,97,currently
508,5,98,averaging
548,5,106,image
556,6,109,One
565,6,111,success
573,6,112,story
586,6,115,partnership
601,6,117,Hal
605,6,118,Bergman
614,7,120,He
617,7,121,joined
624,7,122,Flickr
647,7,127,said
656,7,129,partnership
678,7,133,originally
711,7,140,helped
722,7,142,career
741,8,148,I
772,8,155,years
796,8,161,year
807,8,164,half
812,9,165,ago
816,9,166,I
818,9,167,gave
829,9,170,day
833,9,171,job
840,9,173,website
848,9,174,development
866,9,178,Bergman
874,9,179,told
879,9,180,BBC
883,9,181,News
890,9,184,I
895,9,186,working
908,9,189,freelance
922,9,191,getting
932,9,193,lot
939,9,195,commission
950,9,196,work
959,9,198,I
976,9,202,deal
981,9,203,brings
1011,9,210,income
1021,10,214,Bergman
1035,10,217,total
1048,10,220,images
1063,10,223,Getty
1069,10,224,Images
1103,10,231,site
1126,10,237,specify
1141,11,241,new
1145,11,242,alliance
1157,11,244,said
1165,11,246,help
1170,11,247,encourage
1180,11,248,people
1190,11,250,retry
1196,11,251,Getty
1202,11,252,Images
1221,11,257,making
1228,11,258,Getty
1234,11,259,Images
1243,11,261,far
1252,11,263,competitive
1264,11,264,alternative
1279,11,266,microstock
1290,11,267,photo
1296,11,268,sites
1324,12,274,benefit
1332,12,275,Flickr
1343,12,278,making
1358,12,281,appealing
1371,12,283,professional
1384,12,284,photographers
1401,12,286,post
1412,12,288,images
1426,12,291,site
1432,13,293,It
1444,13,296,unclear
1457,13,298,standards
1467,13,299,Getty
1473,13,300,Images
1485,13,302,use
1497,13,305,licensing
1507,13,306,program
1522,13,309,customer
1531,13,310,wants
1539,13,312,photo
