char,sent_n,token_i,word
0,1,0,Two
4,1,1,men
18,1,4,admitted
30,1,6,hospital
47,1,9,shooting
56,1,10,incident
68,1,12,Glasgow
77,1,14,Scotland
87,2,16,One
99,2,19,old
103,2,20,man
107,2,21,suffered
118,2,23,gunshot
126,2,24,wound
140,2,27,second
147,2,28,man
155,2,30,left
160,2,31,severely
169,2,32,injured
185,2,35,disturbance
197,2,36,outside
207,2,38,residence
224,2,41,Castlemilk
235,2,42,district
251,2,45,city
263,2,48,occurred
275,2,50,approximately
294,2,52,BST
304,2,55,UTC
309,2,57,Sunday
316,2,58,morning
334,3,63,men
343,3,65,transported
358,3,67,Victoria
367,3,68,Hospital
379,3,70,Kirkcaldy
394,4,73,gunshot
402,4,74,victim
413,4,76,later
419,4,77,taken
428,4,79,Golden
435,4,80,Jubilee
443,4,81,Hospital
455,4,83,Clydebank
478,4,88,reported
506,4,94,albeit
513,4,95,stable
520,4,96,condition
531,5,98,Meanwhile
545,5,100,second
552,5,101,victim
565,5,104,Southern
574,5,105,General
582,5,106,Hospital
598,5,109,Linthouse
608,5,110,district
620,5,112,Glasgow
629,6,114,He
632,6,115,suffered
651,6,118,head
656,6,119,injury
671,6,122,condition
684,6,124,said
695,6,127,critical
706,7,130,Police
726,7,135,examining
740,7,137,background
758,7,140,incident
773,7,143,asked
779,7,144,people
795,7,147,information
810,7,149,contact
824,8,152,They
839,8,155,increased
849,8,156,patrols
864,8,159,region
873,9,162,According
888,9,165,Strathclyde
900,9,166,Police
907,9,167,spokesperson
922,9,170,Police
933,9,172,currently
943,9,173,making
950,9,174,door
958,9,178,door
963,9,179,enquiries
977,9,181,speaking
991,9,183,members
1006,9,186,local
1012,9,187,community
1025,9,189,identify
1038,9,191,injured
1046,9,192,man
1054,9,194,establish
1068,9,196,exact
1074,9,197,circumstances
1088,9,198,surrounding
1105,9,200,incident
1115,10,202,Extra
1121,10,203,patrols
1133,10,205,visible
1148,10,208,vicinity
1160,10,210,assure
1171,10,212,public
1194,10,215,possible
1220,10,220,trace
1232,10,222,responsible
1248,10,224,police
1255,10,225,urge
1272,10,228,information
1287,10,230,contact
