char,sent_n,token_i,word
0,1,0,Google
11,1,2,launched
23,1,4,online
30,1,5,spreadsheet
42,1,6,site
53,1,10,private
61,1,11,beta
73,2,15,site
83,2,17,allow
89,2,18,spreadsheets
108,2,21,shared
132,2,26,users
148,2,30,aimed
160,2,33,useful
170,2,35,teams
180,2,37,small
186,2,38,businesses
199,3,41,Many
204,3,42,people
219,3,44,organise
228,3,45,information
245,3,47,spreadsheets
259,4,49,Where
274,4,52,struggling
291,4,55,share
301,4,58,said
310,4,60,product
318,4,61,manager
327,4,63,Jonathan
336,4,64,Rochelle
347,5,67,Google
354,5,68,recently
363,5,69,bought
374,5,71,online
381,5,72,word
386,5,74,processor
396,5,75,Writely
405,5,77,launched
416,5,79,calendar
425,5,80,product
447,5,86,desktop
455,5,87,search
462,5,88,tool
468,6,90,Many
490,6,95,straying
504,6,97,Microsoft
516,6,99,markets
526,7,102,Google
533,7,103,Spreadsheets
546,7,104,uses
556,7,106,advanced
565,7,107,AJAX
571,7,109,Asynchronous
584,7,110,Javascript
595,7,111,And
599,7,112,Xml
608,7,115,Client
615,7,116,Side
620,7,117,Scripting
633,7,119,mimic
644,7,121,effectively
661,7,124,desktop
669,7,125,counterparts
683,7,127,functions
695,8,130,It
701,8,132,surprisingly
714,8,133,fast
729,8,137,good
734,8,138,formatting
749,8,140,advanced
758,8,141,formula
766,8,142,support
779,8,145,best
798,8,150,complete
807,8,151,support
819,8,153,Microsoft
829,8,154,Excel
840,8,156,files
856,8,160,good
861,8,161,collaboration
881,8,164,enter
891,8,166,e
893,8,168,mail
898,8,169,address
918,8,173,share
924,8,174,easily
