char,sent_n,token_i,word
0,1,0,According
21,1,3,pages
30,1,5,Google
39,1,7,website
48,1,9,Google
58,1,11,launching
70,1,13,free
75,1,14,WiFi
80,1,15,service
89,2,17,This
94,2,18,program
103,2,20,called
110,2,21,Google
117,2,22,Secure
124,2,23,Access
132,2,25,creates
142,2,27,Virtual
150,2,28,Private
158,2,29,Network
166,2,30,allowing
175,2,31,secure
182,2,32,access
196,2,35,Internet
206,3,37,Google
213,3,38,Secure
220,3,39,Access
227,3,40,encrypts
240,3,42,traffic
262,3,47,user
269,3,49,machine
287,3,52,user
295,3,54,connected
312,3,57,wireless
321,3,58,access
328,3,59,point
336,4,62,Google
343,4,63,provides
356,4,65,engineers
371,4,67,time
379,4,69,work
387,4,71,independent
399,4,72,research
408,4,73,projects
418,5,75,Google
425,5,76,Secure
432,5,77,Access
443,5,79,created
457,5,82,independent
469,5,83,research
478,5,84,project
491,5,87,Google
498,5,88,engineer
516,5,91,discovered
532,5,93,WiFi
541,5,95,insecure
558,5,98,locations
570,6,101,According
587,6,104,Google
594,6,105,Secure
601,6,106,Access
608,6,107,FAQ
617,6,110,service
633,6,113,available
647,6,116,certain
655,6,117,Google
662,6,118,WiFi
667,6,119,locations
684,6,122,San
688,6,123,Francisco
698,6,124,Bay
702,6,125,Area
709,7,128,According
727,7,131,reports
740,7,134,service
751,7,136,working
769,7,139,independent
782,7,141,non
786,7,143,Google
794,7,145,WiFi
799,7,146,locations
812,7,148,NYC
818,8,151,Like
831,8,154,Google
846,8,157,popular
854,8,158,services
871,8,161,Gmail
878,8,163,Google
885,8,164,Secure
892,8,165,Access
915,8,170,beta
920,8,171,testing
928,8,172,stage
