char,sent_n,token_i,word
8,1,1,people
15,1,2,living
29,1,4,Harare
37,1,6,Zimbabwe
56,1,9,evicted
75,1,12,homes
98,1,17,targeted
112,1,20,demolition
123,1,21,programme
140,1,24,government
152,2,26,Most
167,2,29,forced
177,2,31,sleep
194,2,35,open
205,2,37,rental
212,2,38,prices
226,2,41,city
236,2,43,skyrocketed
254,3,47,operations
270,3,49,targeted
292,3,53,Harare
299,3,54,suburbs
308,3,56,Hatcliff
317,3,57,extension
328,3,59,Epworth
337,3,61,Dzivaresekwa
351,3,63,Glenorah
361,3,65,Glenview
371,3,67,Budriro
383,3,69,Mbare
395,4,73,official
404,4,74,government
415,4,75,newspaper
430,4,78,Herald
438,4,80,says
455,4,83,people
472,4,86,arrested
488,4,89,drive
503,4,92,illegal
511,4,93,structures
523,4,95,businesses
538,4,97,criminal
547,4,98,activities
566,5,103,Zimbabwe
575,5,104,Human
581,5,105,Rights
588,5,106,Association
601,5,108,ZimRights
616,5,111,pressing
633,5,114,government
654,5,118,month
660,5,119,waiting
668,5,120,period
683,5,123,residents
693,5,124,time
706,5,127,new
710,5,128,housing
718,5,129,arrangements
732,6,131,ZimRights
742,6,132,director
751,6,133,Munyaradzi
762,6,134,Bidi
767,6,135,told
776,6,137,IRIN
781,6,138,news
786,6,139,service
796,6,142,About
810,6,144,people
827,6,147,affected
843,6,150,demolition
854,6,151,drive
886,6,159,papers
896,6,161,prove
917,6,165,legal
923,6,166,occupants
938,6,168,lease
944,6,169,agreements
