char,sent_n,token_i,word
4,1,1,Greek
10,1,2,newspaper
20,1,3,Proto
26,1,4,Thema
35,1,6,reporting
47,1,8,member
61,1,11,British
69,1,12,embassy
77,1,13,staff
86,1,15,Athens
94,1,17,Nicholas
103,1,18,Langman
116,1,21,involved
132,1,24,abduction
143,1,26,interrogation
161,1,28,torture
175,1,31,Pakistani
185,1,33,born
190,1,34,immigrants
204,1,36,Greece
216,2,39,alleged
224,2,40,victims
237,2,42,detained
249,2,44,connection
271,2,48,July
276,2,49,bombings
288,2,51,London
301,3,55,disclosure
315,3,57,British
327,3,59,agents
334,3,60,acting
341,3,61,openly
351,3,63,Greece
362,3,65,precipitated
378,3,67,uproar
392,3,70,Vouli
398,3,71,ton
402,3,72,Ellinon
420,3,76,opposition
431,3,77,uniformly
441,3,78,calling
457,3,81,matter
470,3,84,discussed
487,3,87,parliament
501,4,91,Such
508,4,93,thing
520,4,95,happened
539,4,99,happen
550,4,101,wo
556,4,103,happen
565,4,106,said
570,4,107,Giorgos
578,4,108,Voulgarakis
595,4,111,Greek
601,4,112,Minister
613,4,114,Public
620,4,115,Order
630,4,118,early
636,4,119,December
654,4,122,detainees
664,4,123,went
669,4,124,public
687,4,127,charges
696,5,129,Jack
701,5,130,Straw
708,5,132,British
716,5,133,Foreign
724,5,134,Minister
738,5,137,likewise
747,5,138,denied
758,5,140,charges
