char,sent_n,token_i,word
0,1,0,Guatemala
14,1,2,nominated
26,1,4,Nobel
32,1,5,Peace
38,1,6,Prize
44,1,7,winner
52,1,9,indigenous
63,1,10,rights
70,1,11,worker
77,1,12,Rigoberta
87,1,13,Menchú
118,1,21,Secretary
128,1,22,General
143,1,25,Organization
159,1,27,American
168,1,28,States
176,1,30,OAS
187,2,35,post
199,2,37,available
219,2,40,previous
228,2,41,Secretary
238,2,42,General
247,2,44,Miguel
254,2,45,Ángel
260,2,46,Rodriguez
271,2,48,served
290,2,52,days
302,2,55,term
310,2,57,office
325,2,60,returning
335,2,61,home
343,2,63,Costa
349,2,64,Rica
357,2,66,face
362,2,67,corruption
373,2,68,charges
383,3,71,Luigi
392,3,73,Einaudi
412,3,77,Assistant
422,3,78,Secretary
432,3,79,General
444,3,82,serving
455,3,84,Acting
462,3,85,Secretary
472,3,86,General
490,3,89,OAS
494,3,90,decides
511,3,93,serve
525,3,96,remainder
542,3,99,current
550,3,100,term
558,3,102,office
567,4,105,Before
574,4,106,Menchú
585,4,108,nominated
600,4,111,Central
608,4,112,American
617,4,113,states
628,4,115,decided
645,4,118,candidate
670,4,122,Central
678,4,123,America
687,5,125,But
695,5,127,Rodriguez
705,5,128,scandal
725,5,132,difficult
743,5,135,Central
751,5,136,American
760,5,137,states
770,5,139,find
783,5,141,candidate
808,5,145,endorse
818,6,148,Chile
828,6,150,Mexico
840,6,152,proposed
859,6,155,candidate
877,6,158,job
883,7,161,President
893,7,162,Oscar
899,7,163,Berger
909,7,165,Guatemala
919,7,166,agrees
931,7,168,Menchú
952,7,172,Central
960,7,173,American
969,7,174,candidate
980,8,176,Menchú
991,8,178,said
1008,8,182,Central
1016,8,183,American
1025,8,184,nations
1040,8,187,agreement
1060,8,191,happily
1068,8,192,stand
1083,8,195,candidate
1095,9,198,An
1098,9,199,indigenous
1109,9,200,Guatemalan
1121,9,202,Menchú
1128,9,203,won
1136,9,205,Nobel
1142,9,206,Peace
1148,9,207,Prize
1176,9,214,prominent
1193,9,217,opposition
1211,9,220,previous
1220,9,221,FRG
1224,9,222,government
1241,9,224,Berger
1248,9,225,defeated
1259,10,228,Menchú
1266,10,229,works
1280,10,232,current
1288,10,233,government
1302,10,235,Good
1307,10,236,Will
1312,10,237,Ambassador
1336,10,241,peace
1342,10,242,accord
