char,sent_n,token_i,word
4,1,1,latest
11,1,2,poll
21,1,4,Finnish
29,1,5,newspaper
39,1,6,Helsingin
49,1,7,Sanomat
60,1,9,co
63,1,11,operation
78,1,13,Gallup
85,1,14,puts
98,1,17,remaining
108,1,18,candidates
121,1,20,incumbent
131,1,21,president
141,1,22,Tarja
147,1,23,Halonen
156,1,25,Social
163,1,26,Democratic
174,1,27,Party
192,1,31,minister
204,1,33,finance
212,1,34,Sauli
218,1,35,Niinistö
228,1,37,Coalition
238,1,38,Party
252,1,43,dead
257,1,44,heat
263,1,46,heading
280,1,49,second
291,1,51,final
297,1,52,round
310,1,55,Finnish
318,1,56,presidential
331,1,57,election
343,1,59,Sunday
362,2,65,respondents
374,2,66,supported
384,2,67,Halonen
403,2,72,supported
413,2,73,Niinistö
427,3,76,result
448,3,80,margin
458,3,82,error
471,4,87,Approximately
498,4,92,questioned
509,4,93,refused
520,4,95,state
540,4,99,vote
552,5,103,Previous
561,5,104,polls
571,5,106,given
577,5,107,Halonen
591,5,110,received
617,5,116,votes
636,5,120,election
645,5,121,nearly
656,5,123,weeks
662,5,124,ago
674,5,126,runner
684,5,129,Niinistö
703,5,135,larger
710,5,136,lead
727,5,140,movement
750,5,144,margin
760,5,146,error
767,6,148,In
772,6,150,poll
777,6,151,conducted
790,6,153,Finnish
798,6,154,TV
801,6,155,channel
817,6,158,Tuesday
825,6,159,Halonen
837,6,161,Niinistö
851,6,163,supported
883,6,172,respondents
896,6,174,respectively
915,7,178,Finnish
923,7,179,presidential
936,7,180,elections
950,7,182,completed
975,7,187,rounds
983,8,189,If
989,8,191,candidate
999,8,192,receives
1010,8,194,majority
1026,8,197,votes
1045,8,201,round
1064,8,206,candidates
1075,8,207,compete
1088,8,210,run
1096,8,213,election
1109,8,215,weeks
1115,8,216,later
