char,sent_n,token_i,word
0,1,0,On
3,1,1,March
23,1,7,Ka
26,1,8,Loko
31,1,9,Reservoir
48,1,12,Hawaiian
57,1,13,island
67,1,15,Kauai
73,1,16,gave
78,1,17,way
110,1,23,days
118,1,25,torrential
129,1,26,rains
139,1,28,thunder
152,2,31,resulting
162,2,32,wave
167,2,33,destroyed
177,2,34,coastal
185,2,35,highways
195,2,37,killed
206,2,39,person
218,2,42,left
223,2,43,seven
236,2,45,missing
249,3,48,missing
261,3,50,dead
266,3,51,count
275,3,53,expected
287,3,55,increase
299,3,57,searchers
309,3,58,investigate
325,3,60,waters
337,3,62,flowed
353,3,65,Pacific
362,4,67,Even
374,4,69,Kauai
384,4,71,received
397,4,75,inches
407,4,77,rain
419,4,80,past
424,4,81,day
434,4,84,residents
444,4,85,admitted
462,4,88,island
477,4,91,prepared
495,4,94,situation
506,5,96,Although
515,5,97,oil
523,5,99,spilled
540,5,102,water
565,5,108,sighting
577,5,110,significant
589,5,111,damage
598,6,114,This
603,6,115,dam
607,6,116,break
622,6,119,concerned
642,6,122,possibility
665,6,125,reservoir
675,6,126,break
682,6,128,especially
707,6,132,Hawaii
716,6,134,reservoirs
742,6,139,century
750,6,140,old
758,6,142,privately
768,6,143,owned
775,7,145,Engineers
790,7,147,begun
799,7,149,drain
814,7,152,Morita
825,7,154,Waita
831,7,155,Reservoirs
851,7,159,Kauai
861,7,162,prevent
873,7,164,possible
882,7,165,breaks
890,8,167,Although
903,8,169,governor
912,8,170,stated
936,8,175,responsibility
955,8,177,privately
965,8,178,owned
971,8,179,reservoirs
982,8,180,belongs
997,8,183,owners
1013,8,187,admit
1028,8,190,state
1043,8,193,failing
1058,8,196,monitoring
1069,8,197,responsibilities
1087,8,199,noting
1103,8,202,department
1117,8,204,charge
1127,8,206,monitoring
1138,8,207,reservoirs
1162,8,211,employees
1173,9,213,Although
1186,9,215,primary
1194,9,216,owner
1205,9,219,Mary
1213,9,221,Lucas
1219,9,222,Trust
1238,9,227,comment
1249,9,230,partial
1257,9,231,owner
1268,9,234,Jimmy
1274,9,235,Pflueger
1288,9,238,admitted
1304,9,241,devastated
1322,9,244,damage
1341,9,248,reservoir
1357,10,252,dam
1365,10,255,feet
1370,10,256,high
1382,10,259,feet
1387,10,260,long
1393,10,262,released
1410,10,266,million
1418,10,267,gallons
1429,10,269,water
1447,10,273,acre
1452,10,275,ft
1456,11,277,Many
1461,11,278,tourists
1482,11,283,native
1489,11,284,residents
1510,11,288,stranded
1527,11,290,transportation
1550,11,294,destruction
1569,11,297,main
1574,11,298,Lihue
1580,11,299,highway
1593,11,302,Kuhio
1599,11,303,Highway
1612,11,306,closed
1628,11,309,airport
1641,12,312,Coast
1647,12,313,Guard
1657,12,315,taken
1672,12,318,main
1689,12,322,search
1706,12,325,Hawaii
1713,12,326,National
1722,12,327,Guards
1743,12,331,activated
1754,13,333,Kauai
1760,13,334,County
1769,13,336,mayor
1779,13,338,declared
1788,13,339,Kauai
1805,13,344,state
1814,13,346,emergency
