char,sent_n,token_i,word
0,1,0,Heavy
6,1,1,rain
15,1,3,washed
22,1,4,away
38,1,7,stretch
49,1,9,National
58,1,10,Highway
73,1,14,Alba
78,1,15,county
86,1,17,western
94,1,18,Romania
103,1,20,leaving
127,1,25,lanes
133,1,26,open
141,1,28,traffic
150,2,30,Both
159,2,32,road
177,2,36,fences
184,2,37,fell
198,2,40,Arieş
204,2,41,River
221,2,45,rain
227,3,47,Repair
234,3,48,teams
249,3,51,National
258,3,52,Roads
264,3,53,Department
280,3,55,called
293,3,58,assess
304,3,60,damage
315,3,62,clear
321,3,63,away
330,3,65,trees
345,3,68,fallen
361,3,71,highway
371,4,74,Western
379,4,75,Romania
391,4,77,recently
400,4,78,faced
408,4,80,week
416,4,82,heavy
422,4,83,rain
438,4,87,caused
445,4,88,heavy
451,4,89,flooding
468,4,92,areas
488,4,97,areas
498,4,99,damaged
506,4,100,infrastructure
522,5,102,Parts
531,5,104,Timiş
537,5,105,county
544,5,106,remain
551,5,107,heavily
559,5,108,flooded
583,5,113,northern
592,5,114,Serbian
600,5,115,region
610,5,117,Vojvodina
621,6,119,Some
626,6,120,people
638,6,122,deemed
649,6,124,floods
664,6,127,region
681,6,131,worst
693,6,134,years
