char,sent_n,token_i,word
0,1,0,A
2,1,1,British
10,1,2,helicopter
26,1,4,eighteen
35,1,5,people
45,1,7,board
51,1,8,ditched
66,1,11,water
78,1,13,approaching
93,1,15,oil
97,1,16,installation
117,1,19,North
123,1,20,Sea
130,1,22,Wednesday
141,2,24,According
154,2,26,Her
158,2,27,Majesty
168,2,29,Coastguard
192,2,33,board
202,2,35,aircraft
211,2,36,survived
224,2,38,crash
245,2,43,picked
262,2,47,life
267,2,49,boats
279,3,53,helicopter
293,3,56,Super
299,3,57,Puma
304,3,58,registered
316,3,60,G
318,3,62,REDU
327,3,65,Bond
332,3,66,Offshore
341,3,67,Helicopters
354,3,69,crashed
372,3,72,miles
378,3,73,miles
384,3,74,east
396,3,77,Scottish
405,3,78,city
413,3,80,Aberdeen
423,4,82,A
425,4,83,Nimrod
432,4,84,jet
445,4,87,RAF
449,4,88,Kinloss
460,4,91,Sea
464,4,92,King
469,4,93,helicopter
485,4,95,RAF
489,4,96,Lossiemouth
514,4,100,choppers
528,4,102,nearby
535,4,103,oil
539,4,104,platforms
549,4,105,searched
562,4,107,area
577,4,110,alarm
587,4,112,raised
603,4,115,GMT
612,5,118,search
619,5,119,effort
640,5,124,hampered
652,5,126,limited
660,5,127,visibility
675,5,129,low
679,5,130,clouds
693,5,133,area
700,6,136,Dave
705,6,137,Webster
716,6,140,squadron
725,6,141,leader
741,6,144,Royal
747,6,145,Air
751,6,146,Force
758,6,148,said
773,6,151,type
781,6,153,accident
800,6,157,rare
805,6,158,occurrence
822,7,162,helicopter
838,7,164,ditched
862,7,168,equipped
876,7,170,survival
885,7,171,suits
894,7,173,shield
905,7,175,passengers
925,7,178,cold
930,7,179,waters
951,7,185,flotation
961,7,186,device
