char,sent_n,token_i,word
0,1,0,A
2,1,1,massive
10,1,2,fire
18,1,4,feared
33,1,7,killed
40,1,8,residents
54,1,10,destroyed
86,1,15,homes
99,1,18,Blue
104,1,19,Mountains
114,1,20,region
124,1,22,New
128,1,23,South
134,1,24,Wales
141,1,26,Australia
156,2,29,blaze
176,2,34,worst
182,2,35,New
186,2,36,South
192,2,37,Wales
203,2,39,seen
223,2,44,decade
231,2,46,said
236,2,47,Premier
244,2,48,Barry
262,3,52,Emergency
272,3,53,services
281,3,54,attempted
294,3,56,evaluate
307,3,58,extent
321,3,61,devastation
336,3,63,Thursday
345,3,64,night
356,3,67,determined
381,3,72,homes
394,3,75,area
402,3,77,Springwood
422,3,80,lost
428,4,82,Mr
441,4,84,says
459,4,89,miracle
470,4,91,lives
485,4,94,lost
497,4,97,blaze
504,5,99,Rural
510,5,100,Fire
515,5,101,Service
523,5,102,Commissioner
537,5,104,Shane
543,5,105,Fitzimmons
554,5,106,said
583,5,112,time
591,5,114,assess
602,5,116,true
607,5,117,extent
621,5,120,damage
642,5,125,fears
665,5,130,worse
675,7,134,We
684,7,137,counting
693,7,138,properties
711,7,141,dozens
730,7,146,hundreds
744,7,150,said
752,8,153,Weather
760,8,154,conditions
775,8,156,set
782,8,158,ease
790,8,160,Friday
810,8,164,firefighters
830,8,167,huge
835,8,168,battle
842,8,169,ahead
857,8,173,says
862,8,174,Deputy
869,8,175,RFS
873,8,176,Commissioner
886,8,177,Rob
890,8,178,Rogers
904,10,183,worst
910,10,184,combination
925,10,186,north
931,10,188,westerly
943,10,190,south
949,10,192,westerly
968,10,196,got
982,11,200,We
988,11,202,got
995,11,204,incredibly
1006,11,205,long
1011,11,206,fire
1038,11,212,sign
1050,11,215,rain
1055,11,216,coming
1066,12,220,Schools
1081,12,223,Blue
1086,12,224,Mountains
1101,12,226,evacuated
1116,12,228,night
1133,12,232,residents
1143,12,233,seeking
1151,12,234,refuge
1161,12,236,emergency
1171,12,237,evacuation
1182,12,238,centres
1201,12,241,area
1207,13,243,Around
1218,13,245,students
1232,13,247,transported
1247,13,249,Springwood
1258,13,250,Sports
1265,13,251,Club
1274,13,253,shelter
1285,14,256,While
1291,14,257,fires
1297,14,258,continue
1309,14,260,cause
1315,14,261,destruction
1338,14,264,Blue
1343,14,265,Mountains
1353,14,266,region
1380,14,271,blazes
1397,14,274,contained
1418,14,277,Central
1426,14,278,Coast
1443,14,282,Southern
1452,14,283,Highlands
1466,15,286,Residents
1486,15,289,urged
1495,15,291,leave
1501,15,292,areas
1507,15,293,surrounding
1523,15,295,Blue
1528,15,296,Mountains
1538,15,297,region
1556,15,301,alert
1562,15,302,system
1573,15,304,upgraded
1589,15,308,emergency
