char,sent_n,token_i,word
0,1,0,Police
11,1,2,Roman
17,1,3,Bogdanyants
39,1,8,Kyrgyzstan
51,1,10,entered
63,1,12,Russian
71,1,13,Embassy
82,1,15,Costa
88,1,16,Rica
97,1,18,took
121,1,23,male
126,1,24,hostage
137,1,26,gunpoint
154,1,29,authorities
171,1,31,able
179,1,33,end
187,1,35,standoff
196,1,36,peacefully
218,1,39,hours
227,2,43,It
234,2,45,ended
248,2,47,violence
266,2,50,loss
274,2,52,life
280,3,54,All
288,3,56,embassy
296,3,57,staff
311,3,60,fine
318,3,63,said
323,3,64,Valery
330,3,65,Nikolayenko
347,3,68,Russian
355,3,69,Ambassador
380,3,75,different
390,3,76,floor
403,3,79,embassy
420,3,83,injured
439,3,86,standoff
449,4,88,No
458,4,90,embassy
466,4,91,workers
477,4,93,personnel
492,4,95,injured
502,5,98,Bogdanyants
514,5,99,entered
526,5,101,embassy
543,5,104,mother
554,5,106,took
559,5,107,Andrey
566,5,108,Yurenkov
575,5,109,hostage
594,5,113,believed
611,5,117,dispute
624,5,119,money
631,6,121,Bogdanyants
645,6,123,mother
652,6,124,spent
662,6,126,entire
669,6,127,time
685,6,130,standoff
695,6,132,attempting
717,6,136,son
724,6,138,surrender
