char,sent_n,token_i,word
0,1,0,Wednesday
10,1,1,night
21,1,4,Houston
29,1,5,Astros
39,1,8,professional
52,1,9,baseball
61,1,10,team
69,1,12,North
75,1,13,America
84,1,15,won
97,1,18,National
106,1,19,League
113,1,20,Pennant
124,1,22,defeating
142,1,25,Louis
148,1,26,Cardinals
163,1,29,score
181,1,35,achieve
199,1,38,win
210,1,41,National
219,1,42,League
226,1,43,Championship
239,1,44,Series
247,2,46,In
255,2,48,series
267,2,51,Astros
274,2,52,won
280,2,54,games
294,2,57,Cardinals
304,2,58,won
310,2,60,games
319,3,63,Now
332,3,66,Houston
340,3,67,Astros
351,3,69,finally
366,3,72,World
372,3,73,Series
397,3,79,set
408,3,82,better
417,4,85,Their
423,4,86,stellar
431,4,87,rotation
443,4,89,Roger
449,4,90,Clemens
458,4,92,Andy
463,4,93,Pettitte
476,4,95,Roy
480,4,96,Oswalt
490,4,98,lined
502,4,101,start
524,4,105,games
542,4,108,White
548,4,109,Sox
560,4,112,rest
566,5,114,And
570,5,115,hard
575,5,117,throwing
584,5,118,closer
591,5,119,Brad
596,5,120,Lidge
610,5,123,refreshed
620,5,124,physically
635,5,126,mentally
653,5,129,exhausting
664,5,130,stretch
675,6,134,We
700,6,140,great
706,6,141,situation
728,6,146,wonderful
738,6,147,chance
747,6,150,said
752,6,151,Clemens
770,6,155,start
776,6,156,Game
786,6,159,Saturday
795,6,160,night
804,6,162,Chicago
827,6,165,Yankees
835,6,166,teammate
844,6,167,Jose
849,6,168,Contreras
862,7,171,Thanks
872,7,173,Scot
877,7,174,McKenzie
895,7,178,won
902,7,180,games
920,7,184,past
929,7,186,seasons
942,7,189,Astros
956,7,192,need
961,7,193,Game
975,7,197,NL
978,7,198,championship
991,7,199,series
1014,7,203,Louis
1020,7,204,Cardinals
1032,8,207,For
1040,8,209,second
1047,8,210,time
1059,8,213,NLCS
1065,8,215,Scot
1070,8,216,allowed
1087,8,219,run
1096,8,221,seven
1102,8,222,innings
1113,8,224,Busch
1119,8,225,Stadium
1128,8,227,leading
1136,8,228,Houston
1149,8,231,series
1156,8,233,ending
1167,8,237,victory
1175,8,238,Wednesday
1185,8,239,night
1193,9,242,So
1196,9,243,instead
1207,9,245,having
1217,9,247,play
1228,9,249,Thursday
1237,9,250,night
1248,9,253,Astros
1255,9,254,got
1265,9,257,home
1276,9,260,day
1291,9,263,traveling
1304,9,265,Chicago
1340,9,272,hour
1345,9,274,long
1350,9,275,flight
1366,9,278,Windy
1372,9,279,City
1387,9,282,beat
1396,9,284,Cardinals
1407,10,286,It
1420,10,289,extra
1426,10,290,rest
1439,10,293,pitchers
1453,10,296,everybody
1474,11,301,city
1482,11,303,Houston
1490,11,304,waited
1500,11,306,seasons
1522,11,310,World
1528,11,311,Series
1536,12,313,It
1539,12,314,comes
1554,12,317,years
1566,12,319,Pettitte
1579,12,321,Clemens
1587,12,322,joined
1600,12,324,hometown
1609,12,325,team
1617,13,329,What
1624,13,331,amazing
1638,13,334,happened
1650,13,336,fast
1657,13,339,said
1662,13,340,Pettitte
1676,13,343,left
1681,13,345,hander
1696,13,348,pitched
1711,13,351,World
1717,13,352,Series
1740,13,357,won
1751,13,360,Yankees
1761,14,363,Realistically
1776,14,365,I
1783,14,367,came
1788,14,368,home
1797,14,370,wanted
1807,14,372,help
1816,14,374,team
1821,14,375,win
1827,14,377,playoff
1835,14,378,series
1843,15,380,That
1866,15,385,goal
1876,16,388,Then
1881,16,389,Roger
1887,16,390,signed
1897,17,394,Clemens
1916,17,401,ERA
1923,17,403,seven
1929,17,404,World
1935,17,405,Series
1942,17,406,starts
1969,17,412,career
1976,17,413,postseason
1987,17,414,start
1993,17,415,Saturday
2018,17,421,day
2022,17,422,matching
2031,17,423,Pettitte
2057,17,432,World
2063,17,433,Series
2070,17,434,starts
2097,18,441,But
2101,18,442,Clemens
2114,18,444,finished
2125,18,446,game
2135,18,448,month
2142,18,450,going
2152,18,452,final
2164,18,454,innings
2179,18,457,Astros
2197,18,460,victory
2210,18,462,ended
2220,18,464,NL
2223,18,465,division
2232,18,466,series
2247,18,468,Atlanta
2257,19,471,Oswalt
2274,19,477,seven
2280,19,478,career
2287,19,479,playoff
2295,19,480,games
2306,19,483,starts
2324,19,488,start
2340,19,491,World
2346,19,492,Series
2353,19,493,game
2366,19,496,Houston
2375,19,498,Game
2385,19,501,Tuesday
2393,19,502,night
2400,20,504,Brandon
2408,20,505,Backe
2425,20,509,decision
2447,20,513,starts
2459,20,515,postseason
2474,20,518,scheduled
2488,20,520,Game
2501,20,524,Clemens
2510,20,526,Pettitte
2523,20,528,Oswalt
2549,20,534,necessary
2561,21,537,Lidge
2571,21,539,warming
2589,21,543,end
2593,21,544,Wednesday
2603,21,545,night
2610,22,547,But
2618,22,549,right
2624,22,551,hander
2638,22,554,needed
2649,22,556,nights
2662,22,558,giving
2672,22,560,Albert
2679,22,561,Pujols
2693,22,565,run
2697,22,566,homer
2712,22,569,outs
2724,22,572,ninth
2730,22,573,inning
2742,22,575,gave
2751,22,577,Cardinals
2767,22,582,victory
2779,22,584,extended
2792,22,586,NLCS
2800,23,590,If
2821,23,597,run
2825,23,598,game
2837,23,603,run
2841,23,604,game
2847,23,606,Brad
2873,23,613,manager
2881,23,614,Phil
2886,23,615,Garner
2893,23,616,said
2900,24,619,We
2924,24,624,Brad
2929,24,625,Lidge
2936,25,627,If
2943,25,629,game
2958,25,633,line
2976,25,637,circumstances
3000,25,642,guy
3007,26,646,Before
3014,26,647,Pujols
3022,26,649,mammoth
3030,26,650,homer
3037,26,652,Lidge
3047,26,654,saved
3059,26,656,straight
3068,26,657,NLCS
3073,26,658,games
3083,26,660,dominated
3097,26,662,Cardinals
3118,26,667,year
3123,26,668,stretch
3132,27,670,But
3148,27,674,pitching
3164,27,677,seventh
3172,27,678,game
3183,27,681,days
3189,27,683,including
3199,27,684,consecutive
3215,27,687,inning
3222,27,688,appearances
3236,28,691,Now
3241,28,693,Lidge
3250,28,695,ready
3259,28,697,pitch
3281,28,701,needed
3288,28,702,rest
3296,29,706,I
3309,29,710,wait
3328,29,716,Lidge
3334,29,717,said
3342,30,720,I
3346,30,722,going
3361,30,726,pumped
3395,30,734,World
3401,30,735,Series
3409,31,737,It
3414,31,739,going
3426,31,742,amazing
3437,32,746,Clemens
3460,32,751,sixth
3466,32,752,World
3472,32,753,Series
3480,32,755,having
3487,32,756,announced
3501,32,758,retirement
3518,32,760,pitching
3535,32,763,Yankees
3555,32,767,Fall
3560,32,768,Classic
3570,33,771,Urged
3583,33,774,buddy
3589,33,775,Pettitte
3606,33,778,pitching
3616,33,780,Clemens
3624,33,781,signed
3637,33,785,year
3642,33,786,deal
3656,33,789,Astros
3668,34,792,Rocket
3675,34,793,signed
3694,34,796,season
3710,34,799,won
3718,34,801,seventh
3726,34,802,Cy
3729,34,803,Young
3735,34,804,Award
3749,34,807,Astros
3756,34,808,got
3760,34,809,close
3773,34,812,World
3779,34,813,Series
3800,34,818,Clemens
3808,34,819,blew
3819,34,823,run
3823,34,824,lead
3832,34,826,lost
3837,34,827,Game
3851,34,831,NLCS
3868,34,834,Cardinals
3882,35,838,I
3886,35,840,glad
3891,35,841,I
