char,sent_n,token_i,word
0,1,0,Researchers
19,1,3,United
26,1,4,States
33,1,5,reported
42,1,6,Saturday
56,1,8,cells
67,1,10,human
73,1,11,bone
78,1,12,marrow
86,1,14,blood
96,1,16,umbilical
106,1,17,cords
112,1,18,successfully
125,1,19,grew
135,1,21,blood
141,1,22,vessels
161,1,25,placed
171,1,27,mice
181,2,30,group
190,2,32,Harvard
198,2,33,Medical
206,2,34,School
217,2,36,Children
228,2,38,Hospital
237,2,39,Boston
244,2,40,stated
260,2,43,human
266,2,44,cells
273,2,46,referred
289,2,50,progenitor
300,2,51,cells
308,2,54,connected
325,2,57,circulatory
337,2,58,system
351,2,61,mice
361,3,64,team
367,3,66,lead
375,3,68,Harvard
383,3,69,associate
393,3,70,professor
406,3,72,medicine
415,3,73,Joyce
421,3,74,Bischoff
431,3,76,reported
446,3,78,findings
462,3,81,journal
470,3,82,Circulation
482,3,83,Research
492,3,85,published
509,3,88,American
518,3,89,Heart
524,3,90,Association
539,4,93,Juan
547,4,95,Melero
554,4,97,Martin
564,4,100,co
567,4,102,author
581,4,105,paper
590,4,107,Circulation
602,4,108,Research
612,4,110,said
633,4,115,project
643,4,117,goals
658,4,121,able
666,4,123,replace
679,4,125,types
688,4,127,heart
694,4,128,surgery
710,4,131,injection
723,4,133,cells
729,4,134,grown
740,4,137,lab
755,4,140,develop
768,4,142,functioning
780,4,143,blood
786,4,144,vessels
798,5,148,For
802,5,149,clinical
811,5,150,use
820,5,153,way
827,5,155,envision
845,5,160,patient
857,5,162,need
865,5,164,vascularize
877,5,165,ischemic
886,5,166,tissue
905,5,171,cells
920,5,174,patient
928,5,175,ahead
937,5,177,time
943,5,179,grow
957,5,182,inject
983,5,187,patient
993,5,190,said
998,5,191,Melero
1005,5,193,Martin
1015,5,196,Ischemic
1024,5,197,tissue
1031,5,198,refers
1041,5,200,tissue
1062,5,204,damaged
1079,5,208,lack
1087,5,210,blood
1093,5,211,flow
1103,5,213,blocked
1111,5,214,arteries
1129,5,217,causes
1137,6,219,Researchers
1149,6,220,hope
1160,6,223,able
1168,6,225,speed
1181,6,228,process
1192,6,230,repairing
1202,6,231,damaged
1210,6,232,tissue
1221,6,234,vessels
1236,6,237,heart
1247,6,240,period
1268,6,245,days
1278,7,248,procedure
1294,7,250,potentially
1317,7,254,treat
1323,7,255,organs
1330,7,256,damaged
1341,7,258,heart
1347,7,259,attacks
1365,7,263,ailments
1380,7,265,impede
1387,7,266,circulation
1401,8,269,Due
1414,8,272,controversial
1428,8,273,nature
1439,8,275,research
1448,8,276,team
1461,8,279,use
1465,8,280,stem
1470,8,281,cells
1485,8,284,study
1503,8,288,relied
1513,8,290,progenitor
1524,8,291,cells
1530,8,292,taken
1541,8,294,bone
1546,8,295,marrow
1556,8,297,blood
1564,9,300,Our
1573,9,302,goal
1587,9,305,line
1598,9,308,use
1610,9,311,humans
1618,10,313,We
1621,10,314,need
1634,10,318,lot
1643,10,320,animal
1650,10,321,studies
1661,10,323,test
1676,10,326,cells
1682,10,327,behave
1692,10,329,different
1702,10,330,tissues
1712,10,333,said
1717,10,334,Joyce
1723,10,335,Bischoff
1739,11,339,Nick
1744,11,340,Rhodes
1758,11,343,UK
1761,11,344,Centre
1772,11,346,Tissue
1779,11,347,Engineering
1798,11,350,University
1812,11,352,Liverpool
1822,11,353,described
1836,11,355,results
1851,11,358,study
1861,11,361,interesting
1877,11,363,promising
1893,11,367,commented
1905,11,370,Although
1919,11,372,approach
1939,11,376,suitable
1952,11,378,clinical
1961,11,379,use
1972,11,383,interesting
1999,11,387,demonstrated
2029,11,392,elements
2042,11,394,need
2050,11,396,create
2059,11,398,functional
2070,11,399,network
2081,11,401,capillaries
2100,11,404,small
2116,11,407,blood
