char,sent_n,token_i,word
0,1,0,Amid
9,1,2,official
18,1,3,celebrations
43,1,7,anniversary
62,1,10,anti
67,1,12,stalinist
77,1,13,Hungarian
87,1,14,uprising
107,1,19,group
128,1,23,thousand
137,1,24,people
152,1,27,calling
168,1,30,resignation
187,1,33,Prime
193,1,34,Minister
207,1,37,Ferenc
214,1,38,Gyurcsány
235,1,42,blocked
248,1,44,entering
257,1,45,Kossuth
265,1,46,square
279,2,50,square
303,2,56,Parliament
314,2,57,building
337,2,62,venue
346,2,64,anti
351,2,66,Gyurcsány
361,2,67,protests
374,2,69,weeks
389,2,72,hosted
400,2,74,October
411,2,76,official
420,2,77,state
426,2,78,rally
437,3,81,police
458,3,86,mounted
477,3,90,tear
482,3,91,gas
487,3,93,water
493,3,94,cannons
505,3,96,rubber
512,3,97,bullets
532,3,100,demonstrators
553,4,104,tearful
561,4,105,demonstrators
597,4,111,props
610,4,114,celebrations
626,4,116,build
632,4,117,barricades
652,4,120,started
665,4,123,tank
671,4,125,parked
685,4,128,center
695,4,130,town
703,4,132,recall
714,4,134,events
736,5,140,demonstrators
760,5,143,forced
770,5,145,withdraw
785,5,147,Alkotmány
795,5,148,utca
801,5,150,Bajcsy
808,5,152,Zsilinszky
819,5,153,út
826,5,155,Károly
833,5,156,körút
846,5,159,direction
863,5,162,separate
872,5,163,memorial
881,5,164,rally
887,5,165,convened
903,5,168,main
908,5,169,opposition
919,5,170,party
926,5,172,Fidesz
937,5,175,Astoria
945,5,176,square
957,6,179,tens
965,6,181,thousands
992,6,186,peacefully
1003,6,187,sympathetic
1022,6,190,cause
1035,6,193,dispersed
1045,6,194,demonstrators
1061,7,197,There
1086,7,202,wounded
1109,7,206,demonstrators
1131,7,209,police
