char,sent_n,token_i,word
4,1,1,International
18,1,2,Monetary
27,1,3,Fund
33,1,5,IMF
41,1,8,preparing
53,1,10,series
63,1,12,loans
77,1,15,Hungary
89,1,17,Ukraine
100,1,19,financial
110,1,20,problems
123,1,22,hitting
139,1,25,countries
150,2,27,Hungary
170,2,30,received
184,2,34,billion
192,2,35,credit
199,2,36,line
213,2,39,European
222,2,40,Central
230,2,41,Bank
236,2,43,ECB
242,3,46,Ukraine
253,3,48,seeking
263,3,50,loan
283,3,56,billion
300,4,60,credit
307,4,61,line
315,4,63,Hungary
339,4,68,cover
352,4,70,shortage
364,4,72,euros
371,5,74,Hungary
385,5,77,severe
392,5,78,debt
397,5,79,problem
415,5,82,posting
426,5,84,account
434,5,85,deficit
450,5,89,billion
469,5,94,GDP
478,5,96,year
484,6,98,As
489,6,100,result
505,6,104,Hungary
516,6,106,unable
526,6,108,find
531,6,109,suitable
540,6,110,credit
550,6,112,store
563,6,115,supply
573,6,117,euros
583,7,121,We
593,7,124,close
599,7,125,dialogue
617,7,128,Hungarian
627,7,129,authorities
647,7,132,EU
653,7,134,discuss
669,7,136,responses
686,7,139,current
694,7,140,challenges
706,7,142,including
716,7,143,possible
725,7,144,technical
739,7,146,financial
749,7,147,support
764,7,150,IMF
770,7,153,said
775,7,154,Dominique
785,7,155,Strauss
793,7,157,Kahn
799,7,159,Managing
808,7,160,Director
824,7,163,IMF
830,8,166,I
837,8,168,informed
850,8,170,authorities
871,8,173,IMF
875,8,174,stands
882,8,175,ready
891,8,177,assist
904,8,179,efforts
913,9,181,We
921,9,183,provide
929,9,184,technical
939,9,185,assistance
953,9,187,needed
972,9,192,context
985,9,195,supportive
996,9,196,policy
1003,9,197,setting
1016,9,200,ready
1025,9,202,undertake
1036,9,204,decisions
1050,9,207,possible
1059,9,208,financial
1069,9,209,assistance
1081,9,211,responding
1092,9,212,rapidly
1103,10,216,Ukraine
1113,10,218,Finance
1121,10,219,Minister
1130,10,220,Viktor
1137,10,221,Pynzenyk
1146,10,222,met
1158,10,225,IMF
1162,10,226,team
1170,10,228,Thursday
1180,11,230,In
1185,11,232,statement
1196,11,234,Pynzenyk
1205,11,235,said
1215,11,238,parties
1223,11,239,discussed
1235,11,241,situation
1248,11,243,influence
1262,11,245,world
1268,11,246,financial
1278,11,247,crisis
1296,11,251,economy
1307,11,253,Ukraine
1317,12,256,It
1331,12,260,known
1350,12,264,IMF
1357,12,266,expected
1369,12,268,lend
1377,12,270,Ukraine
1395,12,274,expected
1421,12,280,billion
1436,12,284,billion
1445,13,286,It
1460,13,290,known
1471,13,292,type
1479,13,294,conditions
1499,13,297,placed
1513,13,300,loan
1521,14,303,In
1524,14,304,addition
1536,14,306,financial
1546,14,307,uncertainty
1559,14,309,Ukraine
1570,14,311,suffering
1585,14,313,political
1595,14,314,turmoil
1612,14,317,current
1620,14,318,President
1631,14,320,Viktor
1638,14,321,Yushchenko
1650,14,323,calling
1660,14,325,snap
1665,14,326,parliamentary
1679,14,327,election
1692,14,329,December
1706,15,332,Prime
1712,15,333,Minister
1722,15,335,Yulia
1728,15,336,Tymoshenko
1749,15,340,moves
1758,15,342,stop
1767,15,344,election
1777,16,346,Ukraine
1787,16,348,yearly
1794,16,349,trade
1800,16,350,deficit
1812,16,352,increased
1835,16,357,billion
1854,16,360,year
1866,17,364,credit
1873,17,365,line
1885,17,368,European
1894,17,369,Central
1902,17,370,Bank
1920,17,374,time
1925,17,375,publicly
1946,17,379,extended
1955,17,380,help
1963,17,382,countries
2008,17,391,Eurozone
2020,18,394,According
2033,18,396,Reuters
2042,18,398,Hungary
2059,18,401,able
2067,18,403,start
2077,18,405,process
2088,18,407,joining
2100,18,409,euro
2105,18,410,quicker
2118,18,412,expected
2128,19,414,Currently
2139,19,416,Hungary
2153,19,419,track
2162,19,421,join
2171,19,423,euro
2200,19,431,sped
2215,19,436,possible
2233,19,439,join
2241,19,441,early
2256,20,445,This
2267,20,447,protect
2275,20,448,Hungary
2296,20,451,financial
2306,20,452,problems
