char,sent_n,token_i,word
0,1,0,A
2,1,1,jet
6,1,2,trainer
14,1,3,belonging
31,1,6,Indian
38,1,7,Air
42,1,8,Force
49,1,10,IAF
54,1,12,caught
61,1,13,fire
73,1,15,takeoff
86,1,17,Biju
91,1,18,Patnaik
99,1,19,Airport
110,1,21,Orissa
123,1,23,refuelling
138,1,25,crashed
151,2,28,pilot
157,2,29,escaped
165,2,30,unharmed
180,3,34,aircraft
205,3,39,flying
217,3,41,Kalaikunda
228,3,42,airbase
239,3,44,West
244,3,45,Bengal
254,3,47,Hyderabad
267,3,49,Andhra
274,3,50,Pradesh
283,4,52,They
299,4,56,scheduled
309,4,57,stop
317,4,59,Biju
322,4,60,Patnaik
334,4,62,refuelling
346,5,64,After
361,5,67,completed
385,5,72,aircraft
394,5,73,successfully
407,5,74,took
420,5,77,continued
439,5,81,fourth
446,5,82,caught
453,5,83,fire
462,5,85,crashed
477,5,88,runway
504,5,93,IST
525,6,100,aircraft
540,6,103,Surya
546,6,104,Kiran
552,6,105,aerobatics
563,6,106,demonstration
577,6,107,team
582,6,108,display
590,6,109,jet
600,7,113,pilot
606,7,114,ejected
623,7,117,aircraft
640,7,120,uninjured
651,7,122,whilst
662,7,124,aircraft
675,7,126,attended
687,7,128,Aircraft
696,7,129,Rescue
707,7,131,Firefighting
720,7,132,vehicles
