char,sent_n,token_i,word
4,1,1,Indian
11,1,2,aviation
20,1,3,sector
27,1,4,looks
33,1,5,set
40,1,7,shrink
47,1,8,amid
52,1,9,financial
62,1,10,turmoil
80,1,14,nation
89,1,16,air
93,1,17,carriers
105,1,19,schemes
116,1,21,try
124,1,23,ride
137,1,26,problems
150,1,28,domestic
159,1,29,air
163,1,30,traffic
181,1,34,year
186,1,35,low
192,2,38,Air
196,2,39,traffic
208,2,41,fallen
225,2,46,September
240,2,49,fourth
247,2,50,month
258,2,53,row
265,2,55,negative
274,2,56,growth
286,3,59,news
291,3,60,comes
302,3,63,joint
308,3,64,result
322,3,67,current
330,3,68,financial
340,3,69,crisis
351,3,71,high
356,3,72,jet
360,3,73,fuel
365,3,74,prices
378,3,77,Indian
385,3,78,airlines
397,3,80,debt
409,3,83,tune
425,3,86,crore
437,3,88,surpassing
454,3,90,credit
461,3,91,limits
473,3,93,oil
477,3,94,companies
507,3,99,making
514,3,100,losses
528,3,103,government
539,3,104,controls
555,3,107,price
564,3,109,jet
568,3,110,fuel
575,4,113,Kingfisher
586,4,114,Red
592,4,116,originally
603,4,117,known
612,4,119,Air
616,4,120,Deccan
624,4,122,India
638,4,125,budget
645,4,126,carrier
660,4,129,Kingfisher
671,4,130,Airlines
680,4,131,bought
691,4,133,company
705,4,136,suffered
718,4,138,biggest
726,4,139,drop
734,4,141,passenger
744,4,142,numbers
768,4,148,load
773,4,149,factor
781,5,151,Flag
786,5,152,carrier
794,5,153,Air
798,5,154,India
807,5,156,running
825,5,161,capacity
846,5,166,fall
860,5,170,average
872,5,172,airlines
895,5,178,opposed
915,5,183,time
925,5,185,year
932,6,188,Kingfisher
943,6,189,Airlines
956,6,191,decided
967,6,193,enter
976,6,195,alliance
990,6,197,Jet
994,6,198,Airlines
1022,6,203,collectively
1035,6,204,control
1043,6,205,half
1052,6,207,Indian
1059,6,208,aviation
1068,6,209,market
1076,7,211,Both
1081,7,212,airlines
1097,7,215,debt
1107,7,217,fuel
1112,7,218,payments
1126,7,220,Jet
1130,7,221,owing
1142,7,223,crore
1154,7,225,Kingfisher
1165,7,226,refused
1176,7,228,disclose
1201,7,232,needed
1211,7,234,pay
1220,8,237,money
1229,8,239,owed
1234,8,240,mainly
1248,8,243,Indian
1255,8,244,Oil
1259,8,245,Corporation
1281,8,249,rest
1286,8,250,owed
1298,8,253,Hindustan
1308,8,254,Petroleum
1318,8,255,Corporation
1338,8,258,Bharat
1345,8,259,Petroleum
1355,8,260,Corporation
1375,9,265,costs
1385,9,267,Indian
1392,9,268,carriers
1404,9,270,fuel
1428,9,277,expensive
1443,9,279,abroad
1457,9,282,multiple
1466,9,283,taxes
1474,10,286,Air
1478,10,287,India
1486,10,289,head
1491,10,290,Raghu
1497,10,291,Menon
1503,10,292,expressed
1513,10,293,concern
1536,10,297,Kingfisher
1547,10,299,Jet
1551,10,300,alliance
1560,10,301,meant
1578,10,305,airline
1588,11,308,We
1596,11,310,competing
1622,11,314,airlines
1631,11,315,separately
1643,12,317,Now
1656,12,321,competing
1691,12,327,entity
1699,13,329,It
1710,13,333,challenge
1725,13,337,said
1732,14,340,Kingfisher
1748,14,342,cancelled
1761,14,344,order
1782,14,348,aircraft
1796,14,350,European
1805,14,351,airframer
1815,14,352,Airbus
1823,15,354,Airbus
1830,15,355,executive
1840,15,356,John
1845,15,357,Leahy
1851,15,358,said
1861,15,360,Airbus
1872,15,362,discussed
1886,15,364,issue
1897,15,366,Kingfisher
1919,15,369,choice
1962,15,378,cancellation
1980,15,380,India
1987,16,382,He
1995,16,384,maintains
2010,16,386,India
2027,16,390,important
2037,16,391,area
2046,16,393,Airbus
2063,16,397,firm
2068,16,398,predicting
2079,16,399,Indian
2086,16,400,aviation
2095,16,401,growth
2118,16,407,compared
2132,16,410,global
2139,16,411,rate
2153,17,416,Airbus
2160,17,417,predict
2179,17,420,new
2183,17,421,aircraft
2197,17,423,increase
2210,17,425,Indian
2217,17,426,fleet
2223,17,427,fivefold
2241,18,431,Airbus
2258,18,434,welcomed
2271,18,436,partnership
2291,18,438,Jet
2299,18,440,Kingfisher
2311,18,442,saying
2326,18,445,help
2331,18,446,consolidate
2347,18,448,carriers
2358,19,451,Airlines
2371,19,453,cutting
2379,19,454,capacity
2391,19,456,reduce
2398,19,457,costs
2421,19,463,gone
2435,20,466,Average
2443,20,467,flight
2450,20,468,movements
2480,20,474,week
2485,20,475,compared
2511,20,480,period
2523,20,482,April
2532,20,484,June
2542,21,487,aviation
2551,21,488,industry
2563,21,490,India
2572,21,492,expected
2584,21,494,post
2591,21,496,collective
2602,21,497,loss
2615,21,501,billion
2625,22,504,One
2629,22,505,executive
2642,22,507,Boeing
2650,22,509,Dinesh
2657,22,510,Keskar
2666,22,512,predicted
2680,22,514,downfall
2695,22,517,brief
2707,24,521,current
2715,24,522,downturn
2731,24,525,sector
2741,24,527,temporary
2763,24,531,prolong
2792,24,538,months
2804,24,542,said
2810,25,544,Airlines
2829,25,548,feel
2843,25,551,risk
2861,25,555,immediate
2872,25,557,Jet
2880,25,559,Kingfisher
2895,25,561,requesting
2908,25,563,government
2919,25,564,bailout
2927,25,565,package
2935,25,566,worth
2941,25,567,Rs
2949,25,569,billion
2958,26,571,They
2967,26,573,currently
2977,26,574,losing
2986,26,576,combined
3002,26,579,billion
