char,sent_n,token_i,word
0,1,0,Reports
13,1,2,Indonesia
45,1,8,people
57,1,10,killed
77,1,14,rescued
85,1,15,today
100,1,19,ferry
106,1,20,sank
114,1,22,rough
120,1,23,waters
127,1,24,near
132,1,25,Sumatra
140,1,26,island
153,2,30,Dumai
159,2,31,Express
174,2,34,sailing
187,2,36,Batam
193,2,37,island
203,2,39,Dumai
212,2,41,Riau
217,2,42,province
229,2,44,Sunday
236,2,45,morning
252,2,48,sank
258,3,50,Officials
268,3,51,blamed
275,3,52,bad
279,3,53,weather
295,3,56,accident
325,3,62,reports
342,3,65,ferry
352,3,67,severely
361,3,68,overloaded
374,4,71,Sunaryo
387,4,74,director
396,4,76,general
407,4,78,sea
411,4,79,transport
422,4,81,said
431,4,83,ferry
439,4,85,capacity
456,4,88,people
477,4,93,passengers
500,4,97,manifest
518,4,101,official
535,4,104,number
542,4,105,rescued
558,5,109,Sunaryo
566,5,110,said
575,5,112,large
581,5,113,disparity
599,5,115,reality
615,5,118,manifest
631,5,122,classic
639,5,123,case
648,5,126,breaking
657,5,127,regulations
672,6,130,Separately
692,6,133,ferry
703,6,136,Dumai
709,6,137,Express
729,6,141,people
739,6,143,board
746,6,145,ran
750,6,146,aground
758,6,147,today
777,6,151,hit
784,6,153,large
790,6,154,waves
803,6,157,way
812,6,159,Batam
821,6,161,Moro
826,6,162,island
834,7,164,Authorities
854,7,167,passengers
869,7,169,crew
874,7,170,survived
885,8,173,Indonesians
897,8,174,rely
902,8,175,heavily
913,8,177,ferries
924,8,179,transport
951,8,183,thousands
964,8,185,islands
989,8,190,archipelago
1002,9,192,Ferry
1008,9,193,accidents
1022,9,195,common
1036,9,198,bad
1040,9,199,weather
1049,9,201,poor
1054,9,202,infrastructure
1075,9,205,tendency
1087,9,207,overload
1096,9,208,vessels
1105,10,210,Around
1116,10,212,people
1133,10,215,killed
1143,10,217,ferry
1149,10,218,accidents
1162,10,220,Indonesia
1181,10,223,past
1192,10,225,years
1199,10,227,including
1228,10,233,accident
1241,10,235,Sulawesi
1253,10,237,January
1266,10,239,year
