char,sent_n,token_i,word
4,1,1,Supreme
12,1,2,Leader
22,1,4,Iran
28,1,6,Ali
32,1,7,Khamenei
42,1,9,appointed
55,1,11,members
70,1,14,main
75,1,15,body
85,1,17,determines
100,1,19,cultural
109,1,20,policy
119,1,22,Iran
129,2,25,body
137,2,27,known
150,2,30,Supreme
158,2,31,Council
173,2,34,Cultural
182,2,35,Revolution
195,3,38,Khamenei
206,3,40,decree
213,3,41,allows
224,3,43,appointees
238,3,45,serve
254,3,48,years
267,3,51,cultural
276,3,52,council
285,4,54,Appointees
296,4,55,like
301,4,56,Ahmad
307,4,57,Jannati
316,4,59,Mir
320,4,61,Hossein
328,4,62,Moussavi
357,4,68,long
362,4,70,time
367,4,71,allies
377,4,73,Khamenei
387,5,75,Gholam
394,5,77,Ali
398,5,78,Haddad
405,5,80,Adel
412,5,82,daughter
424,5,84,married
442,5,88,Khamenei
453,5,90,sons
464,7,95,Secretary
481,7,98,Guardian
490,7,99,Council
499,7,101,Haj
503,7,102,Sheikh
510,7,103,Ahmad
516,7,104,Jannati
528,8,108,Majlis
535,8,109,Speaker
544,8,111,Gholam
551,8,113,Ali
555,8,114,Haddad
562,8,116,Adel
571,9,120,Former
578,9,121,Vice
583,9,123,President
594,10,125,Hassan
601,10,126,Habibi
612,11,130,Former
619,11,131,Prime
625,11,132,Minister
635,11,134,Mir
639,11,136,Hossein
647,11,137,Moussavi
659,12,140,Ahmad
665,12,141,Ahmadi
675,12,144,Ali
679,12,145,Shariatmadari
696,13,148,Reza
701,13,149,Davari
712,13,153,Former
719,13,154,Foreign
727,13,155,Minister
740,13,157,Leadership
751,13,158,Advisor
763,13,160,Foreign
775,13,162,International
789,13,163,Affairs
798,14,165,Ali
802,14,167,Akbar
808,14,168,Velayati
820,15,171,Iraj
825,15,172,Fazel
835,16,176,Former
842,16,177,Vice
847,16,179,President
858,16,181,Mohammad
867,16,183,Reza
872,16,184,Aref
880,17,187,Mehdi
886,17,188,Golshani
899,19,192,Top
903,19,193,nuclear
911,19,194,negotiator
926,19,196,Secretary
943,19,199,Supreme
951,19,200,National
960,19,201,Security
969,19,202,Council
978,19,204,Ali
982,19,205,Larijani
993,20,208,Ali
997,20,210,Reza
1002,20,211,Sadr
1007,20,213,Hosseini
1019,21,216,Mohammad
1028,21,218,Ali
1032,21,219,Keynejad
1044,22,222,Mohsen
1051,22,223,Ghomi
1060,23,226,Hassan
1067,23,227,Rahimpour
1079,23,230,Mohammad
1088,23,232,Reza
1093,23,233,Mokhber
1104,23,236,Sadeq
1110,23,237,Vaezzadeh
1123,24,240,Ali
1127,24,242,Akbar
1133,24,243,Sadeqi
1140,24,245,Rashad
1151,26,249,Head
1163,26,252,Islamic
1171,26,253,Culture
1183,26,255,Communication
1197,26,256,Organization
1211,27,258,Mahmoud
1219,27,259,Mohammadi
1229,27,260,Araqi
1239,28,264,Deputy
1246,28,265,Minister
1258,28,267,Science
1267,28,269,Research
1280,28,271,Technology
1295,28,273,Education
1306,29,275,Mansour
1314,29,276,Kabkanian
1328,30,280,Member
1338,30,282,Board
1347,30,284,Instructors
1362,30,286,Tehran
1369,30,287,University
1382,30,289,Faculty
1393,30,291,Social
1400,30,292,Sciences
1410,31,294,Hossein
1418,31,295,Kachuian
1433,32,299,cultural
1442,32,300,council
1457,32,303,ensure
1469,32,305,Iran
1478,32,307,counter
1490,32,309,Western
1498,32,310,culture
1511,32,312,Islam
1521,32,314,works
1527,32,315,closely
1544,32,318,Ministry
1556,32,320,Islamic
1564,32,321,Culture
1576,32,323,Guidance
