char,sent_n,token_i,word
4,1,1,International
18,1,2,Olympic
26,1,3,Committee
37,1,5,IOC
46,1,8,told
55,1,10,Iraqi
61,1,11,Olympic
69,1,12,Committee
84,1,14,Iraq
97,1,17,field
105,1,19,team
122,1,23,Summer
129,1,24,Olympics
156,1,30,open
164,1,32,Beijing
173,1,34,China
179,1,35,August
202,2,42,International
216,2,43,Olympic
224,2,44,committee
234,2,45,said
247,2,48,took
257,2,50,action
270,2,54,consequence
289,2,57,ongoing
297,2,58,political
307,2,59,interference
327,2,62,government
349,2,65,sports
356,2,66,movement
368,2,68,Iraq
379,3,72,Iraqi
385,3,73,government
396,3,74,suspended
410,3,76,Olympic
418,3,77,Committee
433,3,80,National
442,3,81,Olympic
450,3,82,Committee
463,3,84,Iraq
480,3,88,viewed
490,3,90,dysfunctional
516,3,93,reasons
525,3,95,including
539,3,97,holding
550,3,99,illegitimate
563,3,100,meetings
573,3,102,having
580,3,103,officials
590,3,104,serve
596,3,105,past
607,3,107,post
616,3,109,living
623,3,110,outside
638,3,113,country
647,4,115,Interference
663,4,117,government
681,4,120,permitted
698,4,123,IOC
709,5,127,government
723,5,129,Iraq
732,5,131,said
746,5,134,decision
755,5,135,undermines
770,5,137,effort
777,5,138,athletes
795,5,141,getting
805,5,143,place
818,5,146,Iraqi
824,5,147,Olympic
832,5,148,team
838,6,150,Dana
843,6,151,Hussain
863,6,156,sprinters
900,6,163,Iraqi
906,6,164,team
916,6,167,reported
931,6,170,distraught
949,6,173,decision
959,7,175,According
976,7,178,coach
991,7,182,crying
1012,7,186,hours
1020,8,189,Her
1024,8,190,coach
1030,8,191,compared
1043,8,193,decision
1056,8,196,finding
1075,8,200,close
1081,8,201,relative
1094,8,203,died
1106,9,208,deadline
1118,9,210,register
1143,9,215,seven
1158,9,219,Iraqi
1164,9,220,Olympians
1178,9,222,passed
1186,10,224,However
1202,10,228,National
1211,10,229,Olympic
1219,10,230,Committee
1232,10,232,Iraq
1240,10,234,reinstated
1256,10,237,possibility
1268,10,238,exists
1288,10,242,sprinters
1305,10,245,able
1313,10,247,compete
1330,10,251,register
1350,10,254,track
1360,10,256,field
1366,10,257,deadline
1382,10,260,end
1389,10,262,July
