char,sent_n,token_i,word
0,1,0,Talks
6,1,1,aimed
15,1,3,negotiating
27,1,4,peace
41,1,6,Iraqi
60,1,9,Sunni
66,1,10,Muslims
83,1,14,largest
91,1,15,population
102,1,16,groups
112,1,18,Iraq
122,1,21,set
134,1,24,place
143,1,26,Finland
171,1,31,days
182,2,35,Crisis
189,2,36,Management
200,2,37,Initiative
212,2,39,CMI
225,2,43,Finnish
233,2,44,Foreign
241,2,45,Ministry
260,2,48,confirmed
270,2,49,reports
287,2,52,pre
291,2,54,arranged
300,2,55,talks
310,2,57,scheduled
323,2,59,begin
329,2,60,soon
340,2,63,undisclosed
352,2,64,location
364,2,66,Finland
377,3,69,CMI
384,3,72,non
388,3,74,governmental
401,3,75,organisation
414,3,76,founded
432,3,79,President
445,3,81,Finland
453,3,82,Martti
460,3,83,Ahtisaari
475,3,86,organised
489,3,88,talks
506,3,92,said
514,3,94,include
522,3,95,key
526,3,96,politicians
539,3,98,including
549,3,99,representatives
568,3,101,major
574,3,102,political
584,3,103,parties
594,4,106,Although
607,4,108,CMI
616,4,110,host
625,4,112,talks
632,4,114,Finland
653,4,118,direct
660,4,119,role
672,4,122,discussions
685,5,124,Martti
692,5,125,Ahtisaari
702,5,126,specifically
744,6,135,All
777,6,143,mediations
801,6,147,arrive
811,6,149,Finland
820,6,151,including
830,6,152,mediators
845,6,154,Northern
854,6,155,Ireland
866,6,157,South
872,6,158,Africa
897,6,163,negotiated
908,6,164,successful
919,6,165,peace
925,6,166,deals
944,6,170,countries
960,7,174,CMI
976,7,177,succeeded
994,7,180,helping
1006,7,182,rival
1012,7,183,factions
1021,7,184,come
1031,7,187,peace
1037,7,188,deal
1043,8,190,In
1056,8,194,organisation
1069,8,195,arranged
1078,8,196,successful
1089,8,197,talks
1107,8,200,Indonesian
1118,8,201,government
1137,8,204,Free
1142,8,205,Aceh
1147,8,206,Movement
