char,sent_n,token_i,word
0,1,0,After
12,1,2,driven
26,1,5,Mogadishu
39,1,7,Ethiopian
49,1,8,troops
61,1,11,Council
72,1,13,Islamic
80,1,14,Courts
87,1,15,continues
100,1,17,struggle
113,1,19,power
124,1,21,Somalia
133,2,23,Sheik
139,2,24,Sharif
146,2,25,Sheik
152,2,26,Ahmed
163,2,29,executive
173,2,30,leader
187,2,33,group
194,2,35,told
203,2,37,media
218,2,40,Council
229,2,42,Islamic
237,2,43,Courts
251,2,46,intention
264,2,48,fleeing
276,2,50,country
286,3,53,We
298,3,56,run
302,3,57,away
316,3,60,enemies
329,3,64,said
336,4,67,We
350,4,70,depart
362,4,72,Somalia
371,5,74,We
379,5,76,stay
391,5,79,homeland
403,6,83,On
415,6,86,day
420,6,88,Ali
424,6,89,Mohamed
432,6,90,Gedi
438,6,92,Somalia
448,6,94,Prime
454,6,95,Minister
463,6,96,entered
471,6,97,Mogadishu
487,6,100,armoured
503,6,102,convoy
525,6,107,time
547,6,112,months
556,7,115,We
564,7,117,fighting
581,7,120,political
591,7,121,survival
626,7,128,support
641,7,131,people
659,7,135,winners
669,7,138,Gedi
674,7,139,told
683,7,141,press
691,8,144,We
706,8,148,start
716,8,150,work
723,9,153,Gedi
728,9,154,greeted
740,9,156,crowds
753,9,159,drove
771,9,162,city
786,9,166,citizens
810,9,171,warm
815,9,172,welcome
832,10,176,In
839,10,178,north
845,10,179,end
856,10,182,city
862,10,184,protesters
873,10,185,filled
884,10,187,streets
896,10,189,threw
902,10,190,rocks
911,10,192,Ethiopian
921,10,193,army
926,10,194,vehicles
937,11,197,Certain
945,11,198,analysts
954,11,199,fear
962,11,202,Afghan
969,11,203,scenario
987,11,208,central
995,11,209,government
1006,11,210,encircled
1021,11,213,nebula
1031,11,215,independent
1043,11,216,armed
1049,11,217,Islamic
1057,11,218,groups
1065,12,220,This
1070,12,221,situation
1091,12,224,attract
1099,12,225,foreign
1107,12,226,fighters
1127,12,229,parts
1140,12,232,Muslim
1147,12,233,world
1156,12,235,join
1165,12,237,Council
1176,12,239,Islamic
1184,12,240,Courts
1198,12,243,conflict
