char,sent_n,token_i,word
0,1,0,Israel
11,1,2,warned
18,1,3,civilians
31,1,5,Southern
40,1,6,Lebanon
51,1,8,leave
63,1,10,homes
73,1,12,villages
100,1,17,city
108,1,19,Beirut
118,1,21,Israel
125,1,22,masses
132,1,23,tanks
139,1,25,armored
147,1,26,personnel
157,1,27,carriers
167,1,29,bulldozers
193,1,34,battalions
207,1,36,troops
214,1,37,totaling
238,1,41,reserves
257,1,44,border
269,1,46,Lebanon
278,2,48,Villagers
293,2,50,warned
303,2,52,leave
313,2,54,area
350,2,62,villages
362,2,64,Lebanon
375,2,66,border
382,2,67,Israel
391,3,70,Chief
404,3,73,Israeli
412,3,74,army
418,3,76,Lt
427,3,79,Dan
431,3,80,Halutz
438,3,81,says
448,3,83,operations
459,3,84,conducted
476,3,87,ground
491,3,90,limited
501,4,93,We
504,4,94,shall
510,4,95,carry
520,4,97,limited
528,4,98,ground
535,4,99,operations
549,4,101,necessary
562,4,103,order
571,4,105,strike
585,4,108,terrorism
601,4,110,strikes
618,5,116,Halutz
625,5,117,said
639,5,120,press
645,5,121,conference
657,6,123,Senior
664,6,124,Israeli
672,6,125,army
677,6,126,commanders
693,6,128,left
698,6,129,open
707,6,131,possibility
726,6,134,large
732,6,136,scale
738,6,137,ground
745,6,138,invasion
760,6,140,soon
768,6,142,launched
779,7,145,It
784,7,147,possible
805,7,151,coming
812,7,152,days
821,7,154,ground
828,7,155,operations
844,7,157,increase
855,7,160,said
860,7,161,Israeli
868,7,162,Brigadier
878,7,164,General
886,7,165,Alon
891,7,166,Friedman
905,8,169,Lebanese
914,8,170,government
929,8,172,warned
936,8,173,Israel
954,8,177,invasion
963,8,178,occurs
975,8,181,Lebanese
984,8,182,army
995,8,184,engage
1005,8,186,battle
1017,8,188,Israel
1036,8,191,Lebanese
1045,8,192,Army
1055,8,194,resist
1066,8,196,defend
1077,8,198,country
1089,8,200,prove
1109,8,205,army
1114,8,206,worth
1123,8,208,respect
1133,8,211,said
1138,8,212,Elias
1144,8,213,Murr
1150,8,215,Lebanon
1160,8,217,Defense
1168,8,218,Minister
1179,9,221,Our
1183,9,222,constitutional
1198,9,223,duty
1209,9,226,defend
1216,9,227,Lebanon
1229,9,230,Lebanese
1238,9,231,army
1244,10,233,This
1256,10,236,role
1262,11,238,But
1274,11,241,resistance
1286,11,243,Hezbollah
1300,11,246,enter
1310,11,248,army
1319,11,250,fight
1325,11,251,alongside
1339,11,253,army
1360,11,259,option
1371,12,263,Lebanese
1380,12,264,President
1390,12,265,Emile
1396,12,266,Lahoud
1403,12,267,said
1413,12,269,Lebanon
1429,12,272,going
1439,12,275,let
1443,12,276,anybody
1460,12,279,land
1466,13,281,We
1477,13,284,going
1486,13,286,let
1495,13,288,come
1519,14,295,However
1528,14,297,according
1541,14,299,Mail
1547,14,301,amp
1552,14,303,Guardian
1561,14,304,Online
1577,14,307,quoting
1588,14,309,anonymous
1598,14,310,Israeli
1606,14,311,military
1615,14,312,official
1651,14,322,scale
1657,14,323,incursion
1672,14,325,Lebanon
1683,15,329,On
1696,15,332,hand
1702,15,334,Lebanese
1711,15,335,Prime
1717,15,336,Minister
1726,15,337,Fuad
1731,15,338,Siniora
1743,15,340,quoted
1757,15,343,Milan
1763,15,345,based
1769,15,346,daily
1776,16,348,Corriere
1785,16,349,della
1791,16,350,Sera
1797,16,352,calling
1813,16,355,disarmament
1828,16,357,Hezbollah
1840,17,360,It
1851,17,364,mystery
1864,17,366,Hezbollah
1874,17,367,answers
1889,17,370,political
1899,17,371,agendas
1910,17,373,Tehran
1921,17,375,Damascus
1932,17,378,Siniora
1940,17,379,said
1952,17,382,Corriere
1967,18,386,entire
1974,18,387,world
1985,18,389,help
1993,18,391,disarm
2000,18,392,Hezbollah
2011,19,394,But
2024,19,397,need
2032,19,399,reach
2040,19,401,cease
2046,19,403,fire
2053,20,406,Siniora
2061,20,407,later
2067,20,408,denied
2078,20,410,interview
2094,20,414,Corriere
2103,20,415,della
2109,20,416,Sera
2115,20,418,stands
2129,20,421,report
2142,21,425,interview
2156,21,427,recorded
2169,21,431,senior
2176,21,432,staff
2182,21,433,member
2189,21,434,said
2201,22,439,important
2211,22,440,thing
2227,22,444,restore
2240,22,446,Lebanese
2249,22,447,sovereignty
2268,22,450,south
2275,22,452,dismantling
2291,22,454,armed
2297,22,455,militia
2305,22,456,parallel
2321,22,459,national
2330,22,460,army
2337,22,463,said
2342,22,464,Siniora
2356,23,468,Syrians
2368,23,470,inside
2379,23,472,home
2405,23,478,weak
2413,23,480,defend
2435,24,484,terrible
2444,24,485,memories
2460,24,488,civil
2466,24,489,war
2484,24,493,alive
2504,24,498,ready
2521,24,502,arms
2529,25,506,So
2532,25,507,far
2537,25,509,Lebanon
2547,25,511,army
2560,25,514,engaged
2571,25,516,battle
2583,25,518,Israel
2592,25,520,army
2608,25,523,firing
2615,25,524,anti
2620,25,526,aircraft
2629,25,527,guns
2637,25,529,Israeli
2645,25,530,warplanes
2657,26,533,Meanwhile
2668,26,535,Hezbollah
2678,26,536,leader
2685,26,537,Hassan
2692,26,538,Nasrallah
2702,26,539,issued
2711,26,541,strongly
2720,26,542,worded
2727,26,543,statement
2737,26,544,indicating
2784,26,555,release
2796,26,557,Israeli
2804,26,558,prisoners
2831,26,562,prisoner
2840,26,564,exchange
2850,27,566,Nasrallah
2860,27,567,stated
2872,27,569,Israeli
2880,27,570,reports
2891,27,572,having
2898,27,573,destroyed
2908,27,574,half
2916,27,576,Hezbollah
2928,27,578,missile
2936,27,579,stores
2948,27,581,erroneous
2973,27,587,leadership
2987,27,589,Hezbollah
3010,27,593,touched
3020,28,596,He
3023,28,597,promised
3038,28,600,surprises
3051,29,604,While
3057,29,605,Nasrallah
3067,29,606,asks
3079,29,609,exchange
3091,29,611,Israeli
3099,29,613,held
3104,29,614,prisoners
3122,29,617,IDF
3126,29,618,soldiers
3135,29,619,captured
3149,29,622,Hezbollah
3159,29,623,incursion
3174,29,625,Israel
3181,29,626,following
3198,29,629,summit
3210,29,632,UN
3213,29,633,Secretary
3223,29,635,General
3231,29,636,Kofi
3236,29,637,Annan
3242,29,638,called
3256,29,641,immediate
3266,29,642,cease
3272,29,644,fire
3293,29,648,bordering
3303,29,649,nations
3314,29,651,Thursday
3324,30,653,But
3332,30,655,UN
3335,30,656,holds
3341,30,657,little
3348,30,658,sway
3356,30,660,Lebanon
3370,31,664,Lebanese
3379,31,665,government
3403,31,669,elected
3416,31,672,popular
3424,31,673,vote
3429,31,674,following
3444,31,676,year
3451,31,678,resignation
3470,31,681,Syrian
3477,31,682,backed
3484,31,683,government
3498,31,685,Omar
3503,31,686,Karami
3513,31,688,February
3523,32,690,Demonstrations
3542,32,692,pressure
3560,32,695,international
3574,32,696,community
3584,32,697,led
3593,32,700,complete
3602,32,701,withdrawal
3616,32,703,Syria
3626,32,705,free
3635,32,707,democratic
3646,32,708,elections
3659,32,710,June
3669,33,713,current
3677,33,714,Israel
3684,33,716,Lebanon
3692,33,717,crisis
3719,33,722,challenge
3729,33,723,faced
3742,33,726,relatively
3753,33,727,inexperienced
3767,33,728,government
