char,sent_n,token_i,word
0,1,0,July
16,1,5,Yigal
22,1,6,Amir
32,1,9,student
44,1,11,assassinated
57,1,12,Israeli
65,1,13,Prime
71,1,14,Minister
80,1,15,Yitzhak
88,1,16,Rabin
95,1,18,began
103,1,20,hunger
110,1,21,strike
120,1,23,June
133,1,26,protest
154,1,30,basic
160,1,31,human
166,1,32,rights
173,1,33,abuse
182,1,35,Israel
191,1,37,prison
198,1,38,authorities
218,1,43,describes
232,2,47,According
249,2,50,prison
256,2,51,service
279,2,58,proper
286,2,59,hunger
293,2,60,strike
311,2,63,drinks
320,2,65,liters
330,2,67,sweet
336,2,68,raspberry
346,2,70,flavoured
356,2,71,drink
373,2,74,known
383,2,77,petel
397,2,81,day
402,3,84,Disputing
418,3,87,according
431,3,89,updates
444,3,91,Larisa
451,3,92,Trembovler
462,3,93,journal
471,4,95,Yigal
477,4,96,Amir
487,4,99,phone
493,4,100,conversation
506,4,101,insists
527,4,106,lie
545,4,111,given
560,4,113,near
567,4,115,liters
577,4,117,drinks
586,4,119,day
591,5,122,Also
596,5,123,regardless
610,5,125,prison
617,5,126,service
625,5,127,definitions
640,5,129,continues
659,5,132,hunger
666,5,133,strike
679,6,137,issue
688,6,139,contention
702,6,141,denial
712,6,143,recognition
731,6,146,marriage
743,6,148,Larisa
750,6,149,Trembovler
764,6,151,Israeli
772,6,152,Prisons
780,6,153,Service
790,7,156,In
793,7,157,January
812,7,161,news
824,7,164,couple
833,7,166,intentions
844,7,167,reached
856,7,169,press
863,7,171,Israel
870,7,172,Prisons
878,7,173,Service
886,7,174,Commissioner
899,7,175,Lieutenant
910,7,176,General
926,7,178,Ganot
932,7,179,rejected
941,7,180,Amir
948,7,182,request
959,7,184,marry
968,7,186,jail
998,7,193,Prison
1005,7,194,Service
1024,7,197,submitted
1036,7,199,formal
1043,7,200,application
1059,7,202,permission
1073,7,204,hold
1082,7,206,ceremony
1092,8,208,Ganot
1103,8,210,requested
1122,8,213,legal
1128,8,214,department
1143,8,217,prepared
1155,8,219,defend
1166,8,221,decision
1178,9,225,Two
1182,9,226,months
1189,9,227,ago
1194,9,229,Amir
1203,9,231,Trimbovler
1214,9,232,asked
1224,9,234,Association
1240,9,236,Civil
1246,9,237,Rights
1256,9,239,Israel
1266,9,241,represent
1292,9,245,Prison
1299,9,246,Service
1312,9,249,present
1326,9,251,desire
1336,9,253,marry
1353,9,256,prison
1360,9,257,walls
1368,10,260,According
1385,10,263,Association
1403,10,267,right
1412,10,269,marry
1418,10,270,applies
1429,10,272,prisoners
1448,10,276,human
1454,10,277,rights
1466,10,279,apply
1475,10,281,Yigal
1481,10,282,Amir
1492,11,286,association
1504,11,287,said
1518,11,290,couple
1525,11,291,performed
1540,11,294,marriage
1552,11,296,messenger
1567,11,299,lack
1575,11,301,alternatives
1605,11,306,deprived
1623,11,309,basic
1629,11,310,right
1638,11,312,marry
1654,11,317,normally
1663,11,318,understood
