char,sent_n,token_i,word
0,1,0,Italian
8,1,1,chocolatemaker
23,1,2,Ferrero
35,1,4,ruled
45,1,6,making
54,1,8,bid
61,1,10,purchase
70,1,11,United
77,1,12,Kingdom
85,1,13,confectioners
99,1,14,Cadbury
117,2,18,comes
129,2,20,Cadbury
139,2,22,board
145,2,23,recommended
157,2,24,accepting
169,2,26,takeover
178,2,27,bid
185,2,29,United
192,2,30,States
199,2,31,firm
204,2,32,Kraft
215,2,34,valued
226,2,36,company
244,2,39,billion
252,2,40,sterling
263,3,43,Ferrero
274,3,45,best
279,3,46,known
293,3,49,Rocher
300,3,50,branded
308,3,51,chocolates
327,3,54,advertisements
347,3,56,accompany
363,4,59,It
375,4,62,rumoured
393,4,65,Italians
408,4,67,team
429,4,71,US
432,4,72,firm
438,4,74,Hershey
450,4,77,submit
459,4,79,joint
465,4,80,bid
473,4,82,Cadbury
482,5,84,However
494,5,87,Friday
501,5,88,Hershey
509,5,89,decided
524,5,92,attempt
535,5,94,purchase
544,5,95,Cadbury
566,5,100,famous
577,5,102,Dairy
583,5,103,Milk
588,5,104,chocolates
601,6,107,Both
606,6,108,companies
625,6,111,given
631,6,112,yesterday
650,6,115,deadline
662,6,117,declare
676,6,119,intentions
703,6,122,British
711,6,123,rival
718,7,125,Kraft
733,7,128,likely
743,7,130,achieve
757,7,132,aim
764,7,134,buying
778,7,137,confectioner
803,7,141,months
813,7,143,negotiations
833,7,146,offer
848,7,149,increased
858,7,150,twice
865,8,152,Italian
873,8,153,newspaper
883,8,154,Il
886,8,155,Sole
894,8,157,said
899,8,158,Ferrero
911,8,160,backed
947,8,167,debt
963,8,170,need
985,8,176,perceived
995,8,177,requirement
1011,8,179,job
1015,8,180,cuts
1022,9,183,Kraft
1032,9,185,offering
1046,9,187,cash
1055,9,189,Cadbury
1063,9,190,share
1070,9,192,plus
1075,9,193,Kraft
1081,9,194,stock
1088,10,196,However
1105,10,200,investors
1115,10,201,accept
1122,10,202,extra
1128,10,203,Kraft
1134,10,204,shares
1162,11,211,deal
1167,11,212,gives
1173,11,213,Cadbury
1183,11,215,total
1189,11,216,value
1223,11,224,orignally
1233,11,225,offered
1248,11,228,fluctuations
1268,11,231,exchange
1277,11,232,rate
1294,11,235,United
1301,11,236,States
1308,11,237,dollar
1323,11,240,pound
1329,11,241,sterling
1344,12,245,final
1350,12,246,offer
1358,12,248,value
1369,12,250,change
1383,12,253,Kraft
1389,12,254,Foods
1395,12,255,share
1401,12,256,price
1415,12,259,USD
1419,12,261,GBP
1423,12,262,exchange
1432,12,263,rate
1437,12,264,change
1446,12,267,explained
1456,12,268,Kraft
1464,13,271,Jeremy
1471,13,272,Batstone
1480,13,274,Carr
1489,13,277,analyst
1502,13,279,Charles
1510,13,280,Stanley
1519,13,282,said
1524,13,283,British
1532,13,284,stock
1538,13,285,investors
1553,13,287,likely
1567,13,290,want
1572,13,291,Kraft
1578,13,292,shares
1587,14,295,UK
1590,14,297,based
1596,14,298,investors
1610,14,300,unlikely
1622,14,302,want
1630,14,304,hold
1635,14,305,Kraft
1641,14,306,stock
1650,15,308,We
1653,15,309,believe
1677,15,314,half
1688,15,316,holders
1707,15,320,looking
1719,15,322,alternative
1731,15,323,investment
1742,15,324,destinations
1767,15,328,UK
1772,16,331,Shareholders
1796,16,334,February
1810,16,337,consider
1823,16,339,offer
1830,17,341,If
1838,17,343,accept
1846,17,345,Cadbury
1859,17,347,cease
1874,17,351,independant
1886,17,352,company
1926,17,361,founded
