char,sent_n,token_i,word
0,1,0,Following
10,1,1,detention
20,1,2,stemming
34,1,4,corruption
45,1,5,allegations
65,1,8,Taiwanese
75,1,9,President
85,1,10,Chen
90,1,11,Shui
95,1,13,bian
103,1,15,reportedly
117,1,17,hunger
124,1,18,strike
132,2,20,His
136,2,21,lawyer
144,2,23,Cheng
150,2,24,Wen
154,2,26,lung
160,2,28,stated
172,2,30,Chen
185,2,33,eaten
207,2,37,admission
220,2,39,Taipei
229,2,41,Tucheng
237,2,42,jail
245,2,44,Wednesday
256,3,46,He
259,3,47,went
270,3,50,tell
275,3,51,reporters
289,3,53,hunger
296,3,54,strike
309,3,57,continue
323,3,61,protest
335,3,63,death
344,3,65,justice
360,3,68,regression
374,3,70,democracy
387,4,74,Chen
402,4,78,Democratic
413,4,79,Progressive
425,4,80,Party
436,4,83,President
459,4,88,year
464,4,89,terms
476,4,92,March
493,4,95,March
505,5,98,In
513,5,100,Chen
520,5,102,wife
526,5,104,Wu
529,5,105,Shu
533,5,107,chen
543,5,110,indicted
555,5,112,charges
566,5,114,embezzlement
580,5,116,forgery
593,5,119,perjury
606,5,121,money
612,5,122,sent
620,5,124,overseas
629,5,125,bank
634,5,126,accounts
644,6,128,Chen
649,6,129,claimed
668,6,132,surplus
676,6,133,funds
687,6,135,election
696,6,136,campaigns
720,6,141,knowledge
737,6,144,wife
742,6,145,transferring
759,6,147,money
772,6,150,Cayman
779,6,151,Islands
789,7,154,Chen
798,7,156,succeeded
811,7,158,President
824,7,160,Ma
827,7,161,Ying
832,7,163,jeou
844,7,166,Kuomintang
856,7,168,commonly
865,7,169,referred
884,7,173,Chinese
892,7,174,Nationalist
904,7,175,Party
923,8,180,President
937,8,182,face
953,8,186,months
960,8,187,confinement
979,8,190,prosecutors
991,8,191,argue
1000,8,193,necessary
1013,8,195,prevent
1030,8,198,colluding
1049,8,201,alleged
1057,8,202,co
1060,8,204,conspirators
1074,9,206,Nine
1085,9,208,people
1102,9,211,held
1110,9,213,relation
1131,9,217,corruption
1142,9,218,allegations
1156,10,221,As
1167,10,225,formal
1174,10,226,charges
1187,10,228,actually
1201,10,230,laid
1214,10,232,Chen
1220,11,234,DPP
1224,11,235,politicians
1246,11,238,observers
1261,11,240,criticised
1276,11,242,detention
1290,11,244,stated
1309,11,248,politically
1321,11,250,motivated
1334,11,252,order
1343,11,254,smear
1353,11,256,DPP
1369,11,261,decision
1390,11,265,wear
1395,11,266,handcuffs
1408,11,268,public
1416,12,270,Recently
1431,12,272,high
1436,12,274,profile
1444,12,275,members
1459,12,278,DPP
1473,12,281,detained
1490,12,283,charge
1498,12,285,whilst
1505,12,286,Chinese
1513,12,287,Nationalist
1525,12,288,Party
1531,12,289,members
1550,12,292,investigation
1568,12,294,alleged
1576,12,295,corruption
1592,12,297,reportedly
1612,12,300,jailed
1628,12,303,cases
1651,12,308,hold
1658,13,311,Meanwhile
1669,13,313,AIT
1673,13,314,Director
1682,13,315,Steve
1688,13,316,Young
1699,13,319,de
1702,13,321,facto
1708,13,322,ambassador
1726,13,325,United
1733,13,326,States
1743,13,328,Taiwan
1751,13,330,asked
1764,13,334,transparent
1777,13,336,fair
1787,13,339,impartial
1798,13,341,resolution
1816,13,344,case
1827,14,348,matter
1843,14,351,raised
1857,14,354,Dutch
1863,14,355,parliament
1875,15,357,MPs
1884,15,359,ruling
1895,15,361,opposition
1906,15,362,parties
1915,15,364,asked
1925,15,366,foreign
1933,15,367,minister
1943,15,369,Maxime
1950,15,370,Verhagen
1970,15,375,aware
1982,15,378,Chen
1993,15,381,number
2003,15,383,politicians
2022,15,386,DPP
2037,15,391,arrested
2049,15,393,suspicion
2062,15,395,abuse
2071,15,397,power
2086,15,400,power
2099,16,405,MPs
2103,16,406,asked
2114,16,408,Parliament
2128,16,410,briefed
2143,16,413,situation
2169,16,417,foreign
2177,16,418,minister
2192,16,420,press
2202,16,422,Taiwanese
2212,16,423,government
2226,16,425,apply
2232,16,426,basic
2238,16,427,principles
2256,16,430,rule
2264,16,432,law
2271,16,434,cases
2285,16,437,Chen
