char,sent_n,token_i,word
0,1,0,According
13,1,2,official
22,1,3,figures
31,1,5,Japan
39,1,7,exports
47,1,8,dropped
65,1,13,January
73,1,14,compared
87,1,17,year
92,1,18,ago
101,1,21,lowest
108,1,22,statistics
130,1,26,recorded
141,2,29,Japan
149,2,31,exports
164,2,34,United
171,2,35,States
178,2,36,plunged
203,2,42,January
217,2,45,car
221,2,46,shipments
244,3,52,Exports
259,3,55,European
268,3,56,Union
274,3,57,fell
292,4,64,Finance
300,4,65,Ministry
309,4,66,stated
325,4,69,trade
331,4,70,deficit
349,4,73,billion
357,4,74,yen
369,4,78,billion
383,4,82,largest
391,4,83,deficit
404,4,85,recorded
418,5,88,country
428,5,90,trade
434,5,91,deficit
447,5,93,China
453,5,94,increased
479,5,100,billion
487,5,101,yen
500,5,105,billion
512,6,110,Japan
521,6,112,particularly
534,6,113,vulnerable
553,6,116,downturn
570,6,118,trade
582,6,121,central
597,6,124,economy
607,6,127,said
612,6,128,Pascal
619,6,129,Lamy
625,6,131,head
637,6,134,World
643,6,135,Trade
649,6,136,Organization
667,6,139,statement
686,6,142,press
692,6,143,conference
703,6,144,today
715,7,148,demand
726,7,150,Japanese
735,7,151,automobiles
751,7,153,hit
755,7,154,particularly
768,7,155,hard
774,7,157,plunging
791,8,162,Demand
802,8,164,electronic
813,8,165,goods
824,8,167,dropped
832,8,168,substantially
848,9,171,Last
853,9,172,week
863,9,175,government
874,9,176,announced
893,9,179,country
903,9,181,economy
915,9,183,shrunk
928,9,186,annualised
939,9,187,rate
965,9,194,quarter
981,9,197,year
991,9,200,fastest
999,9,201,contraction
1014,9,203,nearly
1024,9,205,years
