char,sent_n,token_i,word
0,1,0,Japanese
9,1,1,Prime
15,1,2,Minister
24,1,3,Junichiro
34,1,4,Koizumi
42,1,5,announced
55,1,7,Friday
67,1,9,Japan
82,1,12,shoot
93,1,14,missiles
111,1,17,headed
126,1,20,allies
135,2,23,Koizumi
143,2,24,spoke
156,2,27,plenary
164,2,28,meeting
179,2,31,Upper
185,2,32,House
198,2,35,Japanese
207,2,36,Parliament
225,3,41,purpose
240,3,44,country
250,3,46,missile
258,3,47,defense
272,3,50,intercept
282,3,51,incoming
291,3,52,missiles
300,3,53,targeting
310,3,54,Japan
318,3,57,said
323,3,58,Koizumi
333,4,61,We
344,4,64,thinking
356,4,66,dealing
375,4,69,missiles
384,4,70,targeting
398,4,72,allies
408,5,76,Koizumi
416,5,77,pointed
437,5,81,angle
447,5,83,altitude
461,5,86,missile
472,5,88,flight
496,5,93,determine
510,5,95,target
524,5,98,missile
533,6,100,He
536,6,101,went
547,6,104,clarify
563,6,107,believed
572,6,108,Japan
584,6,110,provide
592,6,111,data
603,6,113,missiles
619,6,116,United
626,6,117,States
641,6,119,violating
651,6,120,Japan
659,6,122,constitution
674,7,125,Japan
680,7,126,plans
689,7,128,install
705,7,130,American
719,7,133,Patriot
735,7,137,complexes
753,7,140,land
758,7,142,based
764,7,143,defense
772,7,144,systems
785,7,147,later
791,7,148,plans
800,7,150,install
812,7,152,American
826,7,155,Aegis
832,7,156,combat
839,7,157,system
853,7,160,naval
859,7,161,ships
