char,sent_n,token_i,word
0,1,0,A
10,1,3,old
14,1,4,Buddhist
23,1,5,priest
34,1,7,temple
41,1,8,nursery
49,1,9,school
56,1,10,director
69,1,12,arrested
82,1,14,soliciting
95,1,16,child
101,1,17,prostitute
113,1,19,police
120,1,20,reported
132,1,22,Friday
141,2,25,Itsushi
149,2,26,Ehara
156,2,28,chief
162,2,29,priest
172,2,31,Komyoji
180,2,32,Temple
190,2,34,Aki
194,2,36,ku
198,2,38,Hiroshima
212,2,41,alleged
228,2,44,violated
241,2,46,Japanese
250,2,47,Anti
255,2,49,Child
261,2,50,Prostitution
278,2,52,Pornography
290,2,53,Law
296,3,56,Police
303,3,57,state
314,3,59,Ehara
320,3,60,admitted
336,3,63,allegations
355,3,65,questioning
368,3,67,responding
380,3,69,I
392,3,73,alleviate
405,3,75,work
410,3,76,stress
419,4,79,Police
431,4,81,claim
445,4,84,confessed
458,4,86,membership
472,4,88,child
478,4,89,prostitution
491,4,90,clubs
506,4,94,paid
519,4,96,high
524,4,97,school
531,4,98,girls
545,4,101,sex
574,4,108,occasions
586,5,111,Tokyo
592,5,112,police
599,5,113,allege
611,5,115,Ehara
617,5,116,paid
629,5,118,yen
646,5,123,old
650,5,124,girl
664,5,129,year
669,5,130,high
674,5,131,school
681,5,132,student
698,5,136,sex
716,5,141,hotel
725,5,143,Shinjuku
734,5,145,ku
738,5,147,Tokyo
748,5,150,August
