char,sent_n,token_i,word
0,1,0,Prime
6,1,1,Minister
15,1,2,Shinzo
22,1,3,Abe
31,1,6,leader
45,1,9,conservative
58,1,10,Liberal
66,1,11,Democratic
77,1,12,Party
86,1,14,Japan
93,1,16,denied
100,1,17,responsibility
119,1,19,military
128,1,20,brothels
137,1,21,set
151,1,24,World
157,1,25,War
161,1,26,II
165,2,28,Speaking
177,2,30,reporters
190,2,32,Thursday
200,2,34,Abe
204,2,35,said
211,2,38,There
223,2,41,evidence
235,2,43,prove
251,2,46,coercion
272,2,50,support
284,3,53,So
291,3,56,respect
307,3,59,declaration
340,3,66,mind
350,3,68,things
362,3,70,changed
370,3,71,greatly
382,4,75,His
386,4,76,statement
396,4,77,contrasts
411,4,79,earlier
419,4,80,comments
450,4,86,support
465,4,89,government
476,4,90,declaration
493,4,92,Japan
506,4,95,fact
511,4,96,set
518,4,98,wartime
526,4,99,military
535,4,100,brothels
547,5,103,Korean
554,5,104,believe
577,5,107,women
590,5,110,multitude
603,5,112,different
613,5,113,nations
626,5,115,forced
638,5,117,brothels
658,5,120,war
683,5,126,raped
689,5,127,dozens
699,5,129,times
705,5,130,daily
712,6,132,However
721,6,134,conservative
734,6,135,elements
750,6,138,Japanese
759,6,139,government
781,6,142,denied
791,6,144,minimized
805,6,146,extent
815,6,148,war
819,6,149,crimes
826,6,150,taking
833,6,151,place
846,6,153,World
852,6,154,War
856,6,155,II
861,7,158,In
870,7,161,historian
880,7,162,Yoshiaki
889,7,163,Yoshimi
897,7,164,discovered
910,7,166,document
919,7,167,titled
926,7,168,Regarding
940,7,170,Recruitment
955,7,172,Women
965,7,174,Military
974,7,175,Brothels
990,7,178,Defense
998,7,179,Agency
1007,7,181,library
1020,7,184,content
1036,7,187,order
1046,7,190,A
1048,7,191,Japanese
1057,7,192,army
1062,7,193,prohibits
1076,7,195,use
1088,7,198,malignant
1098,7,199,Korean
1105,7,200,people
1112,7,201,broker
1124,7,205,prompting
1138,7,207,government
1156,7,210,declaration
1169,8,212,Over
1178,8,214,years
1200,8,218,sex
1204,8,219,slaves
1216,8,221,stepped
1224,8,222,forward
1233,8,224,providing
1243,8,225,testimony
1256,8,227,direct
1263,8,228,contrast
1281,8,231,Japanese
1290,8,232,government
