char,sent_n,token_i,word
0,1,0,Jenson
7,1,1,Button
17,1,3,McLaren
25,1,5,Mercedes
34,1,6,took
45,1,8,place
54,1,10,Sunday
63,1,12,Hungarian
73,1,13,Grand
79,1,14,Prix
91,1,17,Hungaroring
104,1,19,marking
122,1,22,grand
128,1,23,prix
133,1,24,race
141,1,26,style
148,2,28,Sebastian
158,2,29,Vettel
168,2,31,Red
172,2,32,Bull
177,2,34,Renault
185,2,35,came
193,2,37,second
201,2,39,extending
215,2,41,lead
232,2,45,Driver
241,2,47,Championship
260,2,50,points
268,3,52,Fernanado
278,3,53,Alonso
288,3,55,Ferrari
296,3,56,took
311,3,59,place
324,3,62,podium
338,4,66,race
347,4,68,affected
359,4,70,intermittent
372,4,71,wet
376,4,72,weather
390,4,75,tyre
395,4,76,choice
402,4,77,playing
412,4,79,crucial
420,4,80,role
432,4,83,result
440,5,85,Button
449,5,87,teammate
458,5,88,Lewis
464,5,89,Hamilton
473,5,90,held
482,5,92,lead
490,5,94,times
501,5,97,suffered
515,5,99,mistimed
524,5,100,tyre
529,5,101,changes
551,5,107,spin
559,5,109,lap
572,5,113,drive
586,5,115,penalty
595,6,117,He
602,6,119,closely
610,6,120,followed
628,6,123,line
636,6,125,Mark
641,6,126,Webber
651,6,128,Red
655,6,129,Bull
662,7,132,Felipe
669,7,133,Massa
675,7,134,took
680,7,135,sixth
686,7,136,place
696,7,138,Ferrari
705,7,140,followed
717,7,142,Force
723,7,143,India
731,7,145,Paul
736,7,146,di
739,7,147,Resta
745,7,148,scoring
757,7,150,highest
765,7,151,placing
780,7,154,career
790,7,156,far
795,8,158,Sébastien
805,8,159,Buemi
812,8,161,Nico
817,8,162,Rosberg
829,8,164,Jaime
835,8,165,Alguersuari
847,8,166,rounded
873,9,173,Four
878,9,174,drivers
894,9,177,finish
905,9,179,race
911,9,181,including
921,9,182,Michael
929,9,183,Schumacher
946,9,185,car
950,9,186,suffered
961,9,188,gearbox
969,9,189,failure
982,9,192,Nick
987,9,193,Heidfeld
997,10,195,Heidfeld
1008,10,197,Renault
1016,10,198,overheated
1036,10,201,longer
1048,10,203,usual
1054,10,204,pit
1058,10,206,stop
1064,10,208,catching
1073,10,209,fire
1083,10,211,emerging
1101,10,214,pit
1105,10,216,lane
1115,11,219,driver
1122,11,220,escaped
1130,11,221,unhurt
1148,11,225,marshals
1162,11,227,tackling
1175,11,229,fire
1183,11,231,air
1187,11,232,bottle
1201,11,235,car
1205,11,236,exploded
1219,12,239,incident
1236,12,242,affect
1247,12,244,rest
1259,12,247,race
1274,12,251,safety
1281,12,252,car
1295,12,255,deployed
1306,13,258,In
1320,13,262,similar
1328,13,263,weather
1336,13,264,conditions
1352,13,267,Hungarian
1362,13,268,circuit
1378,13,271,scene
1387,13,273,Button
1405,13,277,victory
1414,14,279,Combining
1428,14,281,triumph
1436,14,282,today
1451,14,285,celebrations
1477,14,289,race
1483,14,291,Button
1490,14,292,quipped
1510,14,296,looking
1518,14,297,forward
1533,14,300,drivers
1542,14,302,brief
1548,14,303,holiday
1572,14,307,race
1580,15,311,It
1585,15,313,great
1601,15,317,couple
1611,15,319,weeks
1617,15,320,break
1624,16,322,It
1646,16,327,long
1663,16,331,tonight
