char,sent_n,token_i,word
0,1,0,On
3,1,1,Sunday
22,1,5,years
31,1,7,touring
43,1,9,recording
54,1,11,Christian
64,1,12,pop
68,1,13,group
80,1,15,performed
109,1,20,Nashville
120,1,22,Tennessee
132,2,25,Playing
143,2,27,Rocketown
156,2,29,downtown
165,2,30,Nashville
180,2,33,performance
192,2,34,reunited
205,2,36,group
224,2,40,Libby
230,2,41,Hodges
242,2,44,left
251,2,46,group
267,3,51,Preceded
281,3,54,VIP
285,3,55,meet
294,3,59,greet
314,3,64,scheduled
327,3,66,start
343,3,70,Opening
366,3,74,pureNRG
375,3,76,Cali
385,3,79,Jessie
392,3,80,Daniels
407,3,83,artists
424,3,86,touring
441,3,89,group
457,3,93,Hello
464,3,95,amp
469,3,97,Goodbye
477,3,98,Tour
489,4,103,tour
494,4,104,stopped
508,4,107,cities
522,4,109,North
528,4,110,America
537,4,112,playing
562,5,118,Group
568,5,119,member
575,5,120,Brittany
584,5,121,Hargest
592,5,122,said
600,5,124,press
606,5,125,materials
628,5,131,hard
636,5,133,believe
663,5,137,ending
687,6,142,We
693,6,144,spent
713,6,148,years
734,6,151,shows
744,6,153,touring
756,6,155,country
777,6,160,coming
790,6,163,end
798,8,168,We
814,8,172,blessed
843,8,179,lives
856,8,182,long
867,8,186,said
873,8,188,thanking
888,8,190,fans
897,8,192,continued
907,8,193,support
917,9,196,Created
932,9,199,era
939,9,201,long
944,9,203,gone
949,9,204,acts
954,9,205,like
967,9,208,Aaron
973,9,209,Carter
1007,9,217,Britney
1015,9,218,Spears
1029,9,221,nightly
1037,9,222,fodder
1048,9,224,talk
1058,9,226,hosts
1071,9,229,managed
1082,9,231,stay
1087,9,232,active
1140,9,241,years
1147,10,243,Even
1157,10,245,years
1171,10,249,song
1177,10,251,Shoot
1187,10,253,Moon
1204,10,257,album
1211,11,259,Hello
1218,11,261,amp
1223,11,263,Goodbye
1236,11,266,able
1244,11,268,chart
1253,11,270,Radio
1259,11,271,Disney
1278,11,276,key
1282,11,277,indicators
1296,11,279,success
1311,11,282,youth
1317,11,284,targeted
1326,11,285,pop
1330,11,286,market
1343,12,290,band
1352,12,292,recently
1361,12,293,released
1373,12,295,online
1385,12,298,holiday
1393,12,299,album
1400,12,301,Christmas
1410,12,302,Like
1415,12,303,This
1430,12,307,available
1443,12,309,iTunes
1454,12,311,Rhapsody
1465,13,314,Over
1481,13,317,years
1488,13,319,siblings
1497,13,320,Brandon
1509,13,322,Brittany
1518,13,323,Hargest
1538,13,327,childhood
1548,13,328,friends
1556,13,329,Lesley
1563,13,330,Moore
1570,13,332,Chris
1576,13,333,Fedun
1586,13,335,Libby
1592,13,336,Hodges
1599,13,337,sold
1613,13,340,million
1621,13,341,albums
1633,13,344,touring
1646,13,346,Radio
1652,13,347,Disney
1661,14,350,Soundtracks
1677,14,352,kids
1682,14,353,movies
1693,14,355,TV
1696,14,356,shows
1702,14,357,included
1726,14,361,regularity
1749,15,365,heard
1762,15,368,Lizzie
1769,15,369,McGuire
1777,15,370,Movie
1784,15,372,Sleepover
1795,15,374,Spy
1799,15,375,Kids
1805,15,377,Ella
1810,15,378,Enchanted
1821,15,380,Ice
1825,15,381,Princess
1839,15,384,Brother
1847,15,385,Bear
1853,16,387,Best
1858,16,388,Picture
1866,16,390,nominee
1874,16,391,Beauty
1889,16,394,Beast
1895,16,395,included
1917,16,399,tracks
1931,16,402,DVD
1935,16,403,release
1944,17,405,MTV
1950,17,407,Newport
1958,17,408,Harbor
1966,17,410,Disney
1973,17,411,Channel
1983,17,413,Kim
1987,17,414,Possible
2004,17,417,Lilo
2010,17,419,amp
2015,18,421,Stitch
2027,19,424,Series
2038,19,426,featured
2053,19,428,songs
2060,20,430,Once
2069,20,432,group
2080,20,434,performed
2094,20,436,United
2101,20,437,States
2108,20,438,President
2118,20,439,Bush
2130,20,442,White
2136,20,443,House
