char,sent_n,token_i,word
0,1,0,Lech
5,1,1,Kaczyński
24,1,4,elected
39,1,7,new
43,1,8,president
60,1,11,Republic
72,1,13,Poland
80,1,15,according
99,1,18,polls
106,2,20,He
109,2,21,gained
131,2,26,votes
148,2,30,rival
155,2,32,Donald
162,2,33,Tusk
167,2,34,gained
187,2,39,run
195,2,42,Polish
202,2,43,presidential
215,2,44,election
227,3,47,In
240,3,50,turn
245,3,51,Kaczyński
260,3,53,Law
268,3,55,Justice
276,3,56,party
282,3,57,gained
302,3,62,votes
319,3,66,main
324,3,67,rival
330,3,68,attracted
353,3,73,polish
360,3,74,society
370,4,77,Kaczyński
381,4,79,nicknamed
396,4,82,duck
408,4,86,replace
416,4,87,Aleksander
427,4,88,Kwasniewski
448,4,92,ineligible
465,4,95,elected
494,4,102,president
507,4,104,Poland
522,4,107,years
530,5,110,Kaczyński
549,5,114,old
553,5,115,lawyer
564,5,117,mayor
573,5,119,Warsaw
587,5,122,like
595,5,124,build
613,5,128,Republic
625,5,130,Poland
633,5,132,called
641,5,134,Czwarta
649,5,135,Rzeczpospolita
670,5,139,Republic
682,5,141,Poland
691,6,144,Many
696,6,145,people
706,6,147,Poland
713,6,148,believe
726,6,150,Kaczyński
737,6,152,alongside
751,6,154,twin
756,6,155,brother
764,6,156,Jarosław
779,6,159,try
786,6,161,throw
796,6,163,corruption
811,6,165,dishonesty
827,6,167,Polish
834,6,168,politics
845,7,171,Pre
849,7,173,election
858,7,174,polls
868,7,176,predicted
883,7,178,pro
887,7,180,business
896,7,181,Donald
903,7,182,Tusk
913,7,185,leader
923,7,187,conservative
936,7,189,liberal
944,7,190,party
950,7,191,Citizens
959,7,192,Platform
975,7,195,win
983,7,197,election
