char,sent_n,token_i,word
0,1,0,Jovan
6,1,1,Belcher
18,1,4,American
27,1,5,football
36,1,6,player
51,1,9,Kansas
58,1,10,City
63,1,11,Chiefs
74,1,14,Saturday
83,1,15,shot
92,1,17,girlfriend
103,1,18,Kasandra
112,1,19,Perkins
129,1,22,later
135,1,23,shot
150,2,27,According
163,2,29,Police
170,2,30,Captain
178,2,31,David
184,2,32,Lindaman
194,2,34,Perkins
206,2,36,Belcher
214,2,37,got
226,2,40,argument
244,2,43,house
254,2,45,Belcher
262,2,46,shot
267,2,47,Perkins
292,2,51,CT
296,3,53,After
302,3,54,shooting
311,3,55,Perkins
320,3,57,Belcher
328,3,58,headed
342,3,61,Chiefs
349,3,62,training
358,3,63,facility
376,3,66,talked
386,3,68,Chiefs
393,3,69,General
401,3,70,Manger
408,3,71,Scott
414,3,72,Pioli
424,3,74,Head
429,3,75,Coach
435,3,76,Romeo
441,3,77,Crennel
450,4,79,Belcher
458,4,80,thanked
481,4,84,support
498,4,87,proceeded
511,4,89,shoot
527,5,93,Owner
540,5,96,Kansas
547,5,97,City
552,5,98,Chiefs
559,5,99,Clark
565,5,100,Hunt
570,5,101,released
581,5,103,statement
601,5,105,Belcher
610,6,107,He
613,6,108,said
623,6,111,entire
630,6,112,Chiefs
637,6,113,family
647,6,115,deeply
654,6,116,saddened
674,6,120,s
676,6,121,events
692,6,125,collective
703,6,126,hearts
714,6,128,heavy
725,6,130,sympathy
735,6,132,thoughts
748,6,134,prayers
764,6,137,families
777,6,139,friends
785,6,140,affected
802,6,143,unthinkable
814,6,144,tragedy
823,7,146,We
826,7,147,sincerely
836,7,148,appreciate
851,7,150,expressions
866,7,152,sympathy
879,7,154,support
895,7,157,received
924,7,163,Kansas
931,7,164,City
940,7,166,NFL
944,7,167,communities
961,7,170,ask
969,7,172,continued
979,7,173,prayers
995,7,176,loved
1001,7,177,ones
1015,7,180,impacted
1025,8,182,We
1033,8,184,continue
1045,8,186,fully
1051,8,187,cooperate
1070,8,190,authorities
1086,8,192,work
1094,8,194,ensure
1110,8,197,appropriate
1122,8,198,counseling
1133,8,199,resources
1147,8,201,available
1164,8,204,members
1179,8,207,organization
1195,9,211,Belcher
1213,9,215,University
1227,9,217,Maine
1234,9,219,went
1239,9,220,undrafted
1266,9,226,signed
1278,9,229,free
1283,9,230,agent
1299,9,233,draft
