char,sent_n,token_i,word
0,1,0,Judge
6,1,1,Marcus
13,1,2,Gordon
20,1,3,passed
27,1,4,sentence
42,1,7,year
47,1,8,old
51,1,9,Edgar
57,1,10,Ray
61,1,11,Killen
76,1,14,convicted
86,1,15,Tuesday
103,1,18,counts
113,1,20,manslaughter
133,1,23,slaying
150,1,26,civil
156,1,27,rights
163,1,28,workers
184,2,33,judge
190,2,34,sentenced
200,2,35,Killen
214,2,38,maximum
225,2,40,years
240,2,43,count
251,2,46,total
263,2,49,years
271,3,52,Judge
277,3,53,Gordon
284,3,54,noted
295,3,56,people
315,3,61,sentence
330,3,64,years
347,3,68,life
352,3,69,sentence
366,3,72,Killen
378,4,75,minimum
386,4,76,time
391,4,77,Killen
404,4,79,serve
430,4,87,years
442,5,91,conviction
453,5,92,came
461,5,94,years
474,5,97,day
484,5,99,James
490,5,100,Chaney
498,5,102,Michael
506,5,103,Schwerner
520,5,105,Andrew
527,5,106,Goodman
540,5,108,murdered
550,6,110,They
564,6,113,registering
576,6,114,minority
585,6,115,votes
594,6,117,Mississippi
618,6,121,Freedom
626,6,122,Summer
644,7,128,Killen
653,7,130,attorneys
677,7,134,appeal
688,7,136,verdict
