char,sent_n,token_i,word
0,1,0,American
9,1,1,Kirby
15,1,2,Chambliss
29,1,4,won
42,1,7,Red
46,1,8,Bull
51,1,9,Air
55,1,10,Race
60,1,11,World
66,1,12,Series
73,1,13,despite
83,1,15,win
92,1,17,Hungarian
102,1,18,team
107,1,19,mate
113,1,21,Peter
119,1,22,Besenyei
135,1,25,final
141,1,26,leg
148,1,28,Perth
155,1,30,Western
163,1,31,Australia
174,2,33,Briton
181,2,34,Paul
186,2,35,Bonhomme
195,2,36,came
200,2,37,second
214,2,40,Perth
220,2,41,event
232,2,43,Chambliss
242,2,44,came
268,2,50,place
276,3,53,More
294,3,56,people
301,3,57,turned
318,3,61,shores
328,3,63,Perth
336,3,65,Swan
341,3,66,River
350,3,68,catch
358,3,70,glimps
375,3,74,pilots
383,4,76,Despite
391,4,77,coming
405,4,80,Chambliss
421,4,82,won
434,4,85,series
442,4,87,coming
458,4,90,event
472,4,93,points
480,5,95,Besenyei
497,5,98,closet
511,5,100,Chambliss
528,5,102,Perth
543,5,106,championship
556,5,107,points
567,6,110,Final
573,6,111,Times
