char,sent_n,token_i,word
0,1,0,Tony
5,1,1,Benn
11,1,3,British
19,1,4,Labour
26,1,5,Party
32,1,6,politician
47,1,8,left
52,1,10,wing
57,1,11,campaigner
69,1,13,died
79,1,15,morning
94,1,18,home
102,1,20,west
107,1,21,London
117,1,23,age
125,2,26,Benn
132,2,28,health
148,2,31,declining
166,2,34,stroke
173,2,35,left
182,2,37,hospitalized
205,3,42,Benn
212,3,44,father
228,3,47,grandfathers
246,3,49,MPs
251,3,51,Members
262,3,53,Parliament
281,3,57,Liberal
289,3,58,party
300,3,61,father
307,3,62,defected
319,3,64,Labour
339,3,68,Cabinet
347,3,69,Minister
357,4,71,Benn
362,4,72,grew
373,4,75,London
390,4,79,pupil
399,4,81,Westminster
411,4,82,School
425,4,84,studying
434,4,85,politics
444,4,87,philosophy
459,4,89,economics
472,4,91,New
476,4,92,College
485,4,94,Oxford
493,5,96,During
500,5,97,World
506,5,98,War
510,5,99,II
517,5,102,served
531,5,105,Royal
537,5,106,Air
541,5,107,Force
555,5,110,years
567,5,113,went
580,5,116,Oxford
590,5,118,finish
601,5,120,studies
610,6,122,He
613,6,123,worked
625,6,126,BBC
629,6,127,radio
635,6,128,producer
646,7,131,Tony
651,7,132,Benn
666,7,135,MP
672,7,137,November
699,7,143,member
713,7,146,cabinets
725,7,148,Harold
732,7,149,Wilson
743,7,151,James
749,7,152,Callaghan
760,8,154,In
769,8,157,Benn
774,8,158,ran
782,8,160,deputy
789,8,161,leadership
807,8,164,Labour
814,8,165,Party
824,8,167,lost
830,9,169,He
844,9,173,role
852,9,175,shaping
869,9,178,Labour
876,9,179,manifesto
887,10,181,He
890,10,182,went
910,10,187,diarist
922,10,189,speaker
942,10,194,joining
957,10,197,anti
962,10,199,war
966,10,200,movement
979,10,202,speaking
992,10,204,strongly
1013,10,207,Iraq
1018,10,208,war
1027,11,211,Sun
1031,11,212,newspaper
1046,11,214,referred
1075,11,221,dangerous
1085,11,222,man
1092,11,224,Britain
1116,11,229,strong
1123,11,230,left
1128,11,232,wing
1133,11,233,political
1143,11,234,views
1151,12,237,Benn
1158,12,239,son
1162,12,240,Hilary
1174,12,242,joined
1181,12,243,Labour
1198,12,247,MP
1205,12,249,Leeds
1211,12,250,Central
1220,13,252,He
1223,13,253,distanced
1250,13,257,father
1259,13,259,views
1268,13,261,saying
1285,13,266,Benn
1297,13,270,Bennite
1308,14,274,Benn
1315,14,276,children
1324,14,277,released
1335,14,279,statement
1345,14,280,following
1359,14,282,passing
1369,14,285,We
1378,14,287,like
1386,14,289,express
1398,14,291,heartfelt
1408,14,292,thanks
1426,14,296,NHS
1431,14,298,National
1440,14,299,Health
1447,14,300,Service
1456,14,302,staff
1466,14,304,carers
1482,14,307,looked
1509,14,312,kindness
1521,14,314,hospital
1537,14,317,home
1543,15,319,We
1551,15,321,miss
1570,15,325,love
1585,15,328,sustained
1613,15,332,lives
1620,16,334,But
1631,16,337,comforted
1648,16,340,memory
1662,16,343,long
1677,16,347,inspiring
1687,16,348,life
1699,16,351,proud
1712,16,354,devotion
1724,16,356,helping
1745,16,360,sought
1755,16,362,change
1766,16,364,world
1780,16,367,better
1790,17,371,Labour
1797,17,372,leader
1804,17,373,Ed
1807,17,374,Miliband
1816,17,375,said
1821,17,376,Benn
1834,17,380,iconic
1841,17,381,figure
1855,17,384,age
1864,17,389,champion
1880,17,392,powerless
1893,17,395,great
1899,17,396,parliamentarian
1921,17,399,conviction
1932,17,400,politician
1945,18,403,David
1951,18,404,Cameron
1959,18,405,said
1967,18,407,Twitter
1977,18,410,Tony
1982,18,411,Benn
1993,18,414,magnificent
2005,18,415,writer
2013,18,417,speaker
2025,18,419,campaigner
2037,19,421,There
2055,19,425,dull
2060,19,426,moment
2067,19,427,listening
2097,19,434,disagreed
