char,sent_n,token_i,word
4,1,1,Ohio
9,1,2,Department
23,1,4,Transportation
39,1,6,ODOT
49,1,9,announced
59,1,10,plans
68,1,12,rebuild
80,1,14,interchange
95,1,16,Interstate
125,1,23,Highway
138,1,26,US
149,1,30,northwestern
162,1,31,Findlay
171,1,33,Ohio
177,1,35,signed
187,1,37,exit
205,2,42,Plans
219,2,45,interchange
234,2,48,standard
243,2,49,diamond
251,2,50,interchange
273,2,53,carries
281,2,54,State
287,2,55,Highway
305,2,59,west
314,2,61,south
320,2,62,approaches
332,2,64,include
340,2,65,reversing
354,2,67,flow
362,2,69,traffic
377,2,72,bridge
406,2,79,known
418,2,83,diverging
428,2,84,diamond
436,2,85,interchange
451,3,89,Such
459,3,91,interchange
480,3,94,exist
493,3,97,United
500,3,98,States
508,3,100,ODOT
513,3,101,based
523,3,103,plan
534,3,106,interchange
549,3,108,Versailles
561,3,110,France
580,3,114,design
588,3,116,introduced
612,3,121,report
624,3,124,trade
630,3,125,magazine
640,4,127,Instead
655,4,130,standard
664,4,131,approach
674,4,133,widening
692,4,137,lane
697,4,138,bridge
707,4,140,add
711,4,141,turn
716,4,142,lanes
723,4,144,traffic
731,4,145,flow
744,4,148,reversed
769,4,152,sets
777,4,154,ramps
789,4,157,traffic
797,4,158,signals
805,4,159,controlling
821,4,161,flow
836,5,165,conflicts
870,5,171,directions
884,5,173,US
896,5,177,turns
918,5,182,ramps
932,5,185,free
937,5,187,flowing
946,6,189,Traffic
962,6,192,guided
972,6,194,barriers
985,6,196,islands
994,6,198,preventing
1005,6,199,errors
1015,6,201,movement
1025,7,203,As
1031,7,205,eliminates
1042,7,206,left
1047,7,207,turns
1060,7,209,traffic
1073,7,212,accident
1082,7,213,rate
1094,7,216,interchange
1109,7,218,expected
1124,7,221,cut
1131,7,223,half
1141,8,226,plan
1159,8,230,cheaper
1174,8,233,rebuild
1189,8,236,bridge
1209,8,241,able
1217,8,243,carry
1228,8,245,traffic
1238,9,248,Left
1243,9,250,hand
1248,9,251,driving
1264,9,254,rare
1276,9,257,United
1283,9,258,States
1301,9,263,freeway
1312,9,267,freeway
1320,9,268,interchanges
1333,9,269,incorporate
1349,10,272,In
1358,10,274,cases
1383,10,279,traffic
1391,10,281,light
1397,10,282,controlled
1413,10,285,crossings
1431,10,287,opposite
1440,10,288,directions
1455,10,290,separated
1468,10,292,bridges
1477,11,294,Another
1485,11,295,related
1493,11,296,case
1505,11,299,Single
1512,11,300,Point
1518,11,301,Urban
1524,11,302,Interchange
1546,11,306,opposing
1555,11,307,streams
1566,11,309,left
1571,11,311,turning
1579,11,312,traffic
1587,11,313,pass
1610,11,318,left
1621,12,322,bridge
1629,12,324,built
1644,12,328,currently
1654,12,329,carries
1675,12,332,vehicles
1688,12,334,day
1697,13,337,land
1702,13,338,west
1714,13,341,interchange
1739,13,345,downtown
1748,13,346,Findlay
1766,13,350,rapidly
1774,13,351,developed
1789,13,354,plans
1803,13,357,area
1808,13,358,include
1818,13,360,Wal
1822,13,362,Mart
1829,13,365,Mayor
1835,13,366,Tony
1840,13,367,Iriti
1849,13,369,Findlay
1857,13,370,thinks
1872,13,375,great
1878,13,376,idea
1884,14,378,It
1889,14,380,amazing
1941,15,391,We
1950,15,394,written
1974,15,399,magazines
1991,15,401,wants
2000,15,403,read
2007,16,406,Hancock
2015,16,407,County
2022,16,408,officials
2036,16,410,similarly
2046,16,411,enthusiastic
2065,17,415,decision
2088,17,419,build
2098,17,421,interchange
2133,17,427,late
2138,17,428,summer
