char,sent_n,token_i,word
0,1,0,McLaren
8,1,1,driver
15,1,2,Lewis
21,1,3,Hamilton
30,1,4,won
34,1,5,yesterday
46,1,7,Formula
54,1,8,One
58,1,9,Grand
64,1,10,Prix
76,1,13,Marina
83,1,14,Bay
87,1,15,Street
94,1,16,Circuit
105,1,18,Singapore
117,2,21,Toyota
124,2,22,driver
131,2,23,Timo
136,2,24,Glock
142,2,25,took
147,2,26,second
154,2,27,place
166,2,29,starting
175,2,30,seventh
190,2,33,grid
196,3,35,Previous
205,3,36,Singapore
215,3,37,GP
218,3,38,winner
225,3,39,Fernando
234,3,40,Alonso
241,3,41,took
255,3,44,spot
267,3,47,podium
278,3,49,Renault
287,3,51,having
294,3,52,started
306,3,54,place
312,3,55,ahead
321,3,57,Glock
329,4,60,Sebastian
339,4,61,Vettel
346,4,62,came
354,4,64,fourth
365,4,66,Red
369,4,67,Bull
382,4,70,drive
396,4,73,penalty
408,4,75,speeding
424,4,78,pit
428,4,79,lane
434,5,81,His
438,5,82,teammate
447,5,83,Mark
452,5,84,Webber
460,5,86,suffering
475,5,88,brake
481,5,89,trouble
490,5,91,span
503,5,94,retired
514,5,96,lap
522,6,99,Both
527,6,100,Toro
532,6,101,Rosso
538,6,102,cars
548,6,104,retired
563,6,107,mechanical
574,6,108,problems
585,7,111,Vettel
596,7,113,chased
611,7,116,Brawns
621,7,118,Jenson
628,7,119,Button
639,7,121,Rubens
646,7,122,Barrichello
663,7,125,current
671,7,126,leaders
687,7,129,season
695,8,131,Hamilton
706,8,133,teammate
715,8,134,Heikki
722,8,135,Kovalainen
733,8,136,secured
741,8,137,seventh
749,8,138,place
759,8,140,McLaren
786,9,146,closed
796,9,148,Robert
803,9,149,Kubica
813,9,151,BMW
817,9,152,Sauber
826,10,155,Monday
838,10,157,week
843,10,158,saw
849,10,160,conclusion
868,10,164,crashgate
879,10,166,scandal
894,10,168,Renault
910,10,172,World
916,10,173,Motor
922,10,174,Sport
928,10,175,Council
936,10,176,gave
945,10,178,team
956,10,182,year
961,10,183,suspended
971,10,184,ban
976,11,186,This
991,11,190,deliberate
1002,11,191,crash
1020,11,195,Singapore
1030,11,196,Grand
1036,11,197,Prix
1042,12,199,Former
1049,12,200,team
1054,12,201,boss
1059,12,202,Flavio
1066,12,203,Briatore
1079,12,205,banned
1090,12,207,life
1104,12,210,FIA
1108,12,212,sanctioned
1119,12,213,event
1133,12,216,replaced
1145,12,218,Bob
1149,12,219,Bell
1162,12,222,post
1171,12,224,chief
1177,12,225,engineer
1186,12,226,Pat
1190,12,227,Symonds
1202,12,229,banned
1218,12,232,years
1229,13,235,Renault
1237,13,236,team
1247,13,238,lost
1256,13,240,sponsors
1270,13,242,week
1276,13,244,ING
1280,13,245,Group
1290,13,247,Mutua
1309,14,251,Following
1323,14,253,race
1328,14,254,Jenson
1335,14,255,Button
1348,14,257,leads
1358,14,259,Championship
1379,14,262,points
1387,15,264,Button
1396,15,266,teammate
1405,15,267,Barrichello
1423,15,270,points
1442,15,274,Brawn
1456,15,277,leading
1464,15,278,team
1478,15,281,points
1486,16,283,Vettel
1499,16,286,points
1513,16,288,Barrichello
1541,16,293,competitor
1565,16,296,team
1580,16,300,mathematical
1593,16,301,chance
1603,16,303,win
1611,16,305,championship
1625,17,307,Red
1629,17,308,Bull
1653,17,313,teams
1672,17,317,points
1686,17,319,Brawn
