char,sent_n,token_i,word
0,1,0,An
3,1,1,exhausted
13,1,2,Charles
21,1,3,Kennedy
29,1,4,returned
45,1,7,election
54,1,8,campaign
66,1,10,launch
82,1,13,page
87,1,14,Liberal
95,1,15,Democrat
104,1,16,manifesto
114,1,17,targeted
126,1,19,disaffected
138,1,20,Labour
145,1,21,voters
153,1,23,promising
165,1,25,fairer
172,1,26,tax
176,1,27,system
187,1,29,withdrawal
203,1,31,Iraq
210,2,34,Entitled
223,2,36,Real
228,2,37,Alternative
244,2,39,manifesto
254,2,40,pledges
265,2,42,reduce
276,2,44,lowest
283,2,45,rate
291,2,47,income
298,2,48,tax
307,2,51,increase
320,2,53,rate
334,2,56,earning
368,3,65,party
385,3,68,scrap
395,3,70,unpopular
405,3,71,local
411,3,72,council
419,3,73,tax
426,3,75,favour
438,3,78,new
442,3,79,local
448,3,80,income
455,3,81,tax
464,4,84,manifesto
479,4,86,promises
491,4,88,remove
498,4,89,hidden
506,4,91,stealth
514,4,92,taxes
523,5,96,Under
534,5,98,system
545,5,100,party
551,5,101,claims
562,5,103,poorest
573,5,105,million
590,5,111,people
600,5,113,Britain
617,5,116,better
637,5,121,middle
657,5,126,paying
667,5,128,extra
673,5,129,tax
683,6,133,manifesto
693,6,134,promised
705,6,136,scrap
715,6,138,controversial
729,6,139,university
740,6,140,tuition
748,6,141,fees
754,6,143,increase
763,6,144,services
776,6,146,pensioners
791,6,148,add
802,6,152,month
815,6,155,state
821,6,156,pension
834,6,159,train
847,6,161,new
851,6,162,primary
859,6,163,school
866,6,164,teachers
886,6,167,new
890,6,168,police
898,7,170,A
900,7,171,Lib
904,7,172,Dem
908,7,173,government
930,7,176,eye
938,7,178,dental
945,7,179,checks
952,7,180,free
962,7,183,reduce
973,7,185,cost
981,7,187,prescription
994,7,188,medicine
1009,8,192,Liberal
1017,8,193,Democrats
1058,8,201,largest
1066,8,202,parliamentary
1080,8,203,parties
1096,8,206,consistently
1109,8,207,voted
1127,8,210,Iraq
1132,8,211,war
1145,8,215,manifesto
1159,8,217,promised
1171,8,219,exit
1176,8,220,strategy
1192,8,223,phased
1199,8,224,withdrawal
1213,8,226,Britain
1229,8,229,troops
1249,8,233,country
1260,9,237,We
1263,9,238,reject
1272,9,240,foreign
1280,9,241,policy
1287,9,242,based
1300,9,246,ally
1305,9,247,right
1314,9,249,wrong
1323,9,253,Kennedy
1331,9,254,said
1338,10,257,And
1354,10,261,war
1382,10,267,resort
1392,11,271,Kennedy
1414,11,276,father
1424,11,278,Tuesday
1433,11,280,admitted
1451,11,284,little
1458,11,285,sleep
1475,11,288,manifesto
1485,11,289,launch
1497,11,292,stumbled
1512,11,294,answering
1522,11,295,questions
1539,11,298,proposed
1548,11,299,tax
1552,11,300,system
