char,sent_n,token_i,word
4,1,1,Minnesota
14,1,2,Twins
20,1,3,faced
30,1,5,Detroit
38,1,6,Tigers
48,1,8,Comerica
57,1,9,Park
62,1,10,Friday
74,1,13,AL
77,1,14,Central
85,1,15,Division
94,1,16,match
104,2,20,Twins
110,2,21,starting
119,2,22,pitcher
127,2,23,Ramon
133,2,24,Ortiz
139,2,25,gave
152,2,28,hits
165,2,31,runs
181,2,35,innings
192,2,37,pitched
201,3,39,Tigers
208,3,40,starter
216,3,41,Nate
221,3,42,Robertson
231,3,43,allowed
243,3,45,run
250,3,47,seven
256,3,48,innings
273,3,52,charged
294,3,56,runners
307,3,58,scored
322,3,61,Twins
335,3,64,eighth
342,3,65,inning
355,4,69,Tigers
362,4,70,pounced
383,4,74,inning
391,4,76,Carlos
398,4,77,Guillen
406,4,78,singled
414,4,79,scoring
426,4,81,veteran
434,4,82,Gary
439,4,83,Sheffield
454,5,86,Tigers
467,5,88,add
482,5,92,sixth
495,5,95,Craig
501,5,96,Monroe
508,5,97,double
516,5,99,scoring
524,5,100,Sean
529,5,101,Casey
540,6,104,Twins
563,6,109,board
576,6,112,seventh
584,6,113,inning
601,6,117,lead
610,6,119,hitter
617,6,120,Justin
624,6,121,Morneau
632,6,122,sending
650,6,125,pitch
665,6,128,left
670,6,129,field
676,6,130,fence
684,7,133,But
692,7,135,Twins
704,7,137,rally
722,7,142,run
726,7,143,eighth
733,7,144,inning
747,7,147,started
762,7,150,Mike
767,7,151,Redmond
775,7,152,single
783,7,154,driving
798,7,157,runs
806,7,159,tie
814,7,161,game
827,8,167,Joe
831,8,168,Mauer
849,8,173,scheduled
862,8,175,play
868,8,177,pinch
874,8,178,hit
885,8,181,DH
888,8,182,spot
897,8,184,brought
915,8,189,ahead
921,8,190,run
926,8,192,plus
936,8,195,giving
947,8,197,Twins
959,8,201,run
963,8,202,lead
969,9,204,Joe
973,9,205,Nathan
980,9,206,picked
994,9,209,save
1004,9,212,seventh
1019,9,215,season
1032,10,219,middle
1039,10,220,game
1058,10,225,game
1063,10,226,series
1078,10,229,played
1085,10,230,tomorrow
1097,10,232,noon
1105,10,234,Detroit
1114,11,236,Starting
1127,11,238,Detroit
1143,11,241,Justin
1150,11,242,Verlander
1165,11,245,Carlos
1172,11,246,Silva
1183,11,248,start
1193,11,250,Minnesota
