char,sent_n,token_i,word
4,1,1,Minnesota
14,1,2,Twins
27,1,5,suffering
39,1,7,cold
44,1,8,loss
60,1,12,colder
72,1,14,Cellular
81,1,15,Field
94,1,18,Chicago
102,1,19,White
108,1,20,Sox
115,1,22,Saturday
125,1,24,needed
135,1,26,heat
149,1,29,offense
165,1,32,final
171,1,33,game
183,1,36,series
200,1,40,help
210,1,42,Cy
213,1,43,Young
219,1,44,winner
226,1,45,Johan
232,1,46,Santana
244,1,48,AL
247,1,49,MVP
251,1,50,Justin
258,1,51,Morneau
288,2,59,Starting
297,2,60,pitcher
305,2,61,Santana
313,2,62,started
321,2,63,slow
327,2,65,giving
340,2,68,unusual
354,2,70,walks
373,2,74,couple
380,2,75,innings
393,2,78,turned
400,2,79,things
426,2,84,giving
445,2,88,hit
452,2,90,seven
458,2,91,innings
466,2,92,pitched
479,2,95,throwing
493,2,97,strikeouts
505,3,99,White
511,3,100,Sox
515,3,101,starter
523,3,102,John
528,3,103,Danks
534,3,104,struck
554,3,109,gave
571,3,114,Twins
582,3,117,hits
588,3,119,plus
601,3,123,run
605,3,124,homer
619,3,127,bat
626,3,129,Justin
633,3,130,Morneau
648,3,133,fourth
661,4,137,White
667,4,138,Sox
677,4,140,respond
688,4,142,hitting
698,4,144,home
703,4,145,run
723,4,151,solo
728,4,152,shot
741,4,155,bat
748,4,157,Juan
753,4,158,Uribe
766,4,161,eighth
773,4,162,inning
789,4,166,Twins
801,4,168,hold
828,4,174,run
836,4,177,closer
843,4,178,Joe
847,4,179,Nathan
854,4,180,picked
868,4,183,save
875,5,186,Friday
884,5,188,postponed
894,5,189,game
904,5,191,likely
914,5,193,rescheduled
934,5,196,weekend
945,5,198,July
962,5,203,time
971,5,205,Twins
977,5,206,play
986,5,208,White
992,5,209,Sox
999,5,211,Chicago
1013,6,215,White
1019,6,216,Sox
1037,6,224,hitting
1049,6,226,road
1057,6,228,Oakland
1077,6,233,game
1082,6,234,series
1101,6,237,Athletics
1111,6,238,starting
1120,6,239,tomorrow
1134,7,242,White
1140,7,243,Sox
1160,7,250,past
1169,7,252,years
1182,7,255,McAfee
1189,7,256,Coliseum
1203,7,259,hope
1214,7,261,starting
1223,7,262,pitcher
1231,7,263,Jose
1236,7,264,Contreras
1251,7,266,bounce
1271,7,270,rough
1277,7,271,opening
1285,7,272,day
1289,7,273,loss
1300,8,277,Twins
1321,8,285,head
1334,8,288,Minneapolis
1349,8,290,face
1358,8,292,Yankees
1372,8,295,Sidney
1379,8,296,Ponson
1386,8,297,making
1397,8,299,debut
1411,8,302,Twins
