char,sent_n,token_i,word
4,1,1,Macedonian
15,1,2,government
26,1,3,declared
37,1,5,nationwide
48,1,6,state
57,1,8,emergency
70,1,10,Thursday
82,1,12,face
92,1,15,heatwave
109,1,18,predicted
126,1,21,worse
134,2,24,As
137,2,25,forest
144,2,26,fires
150,2,27,rage
166,2,30,country
175,2,32,temperatures
199,2,37,C
206,2,41,F
213,2,44,predicted
231,2,47,weekend
244,3,50,emergency
254,3,51,plan
275,3,56,implemented
304,3,61,weeks
311,3,63,reduces
319,3,64,working
327,3,65,hours
340,3,68,hours
348,3,70,day
353,3,72,calls
363,3,74,special
371,3,75,shifts
382,3,77,outdoors
391,3,78,workers
404,3,81,warns
410,3,82,people
420,3,84,stay
436,3,88,sun
455,3,92,common
462,3,93,sense
468,3,94,precautions
487,4,98,new
491,4,99,working
499,4,100,hours
509,4,102,state
519,4,104,public
526,4,105,workers
551,4,112,pm
554,4,113,indoors
571,4,117,shifts
598,4,126,pm
605,4,129,pm
608,4,130,outdoors
618,5,132,All
622,5,133,pregnant
631,5,134,women
647,5,137,given
653,5,138,paid
658,5,139,leave
665,6,141,Although
680,6,143,measures
697,6,146,compulsory
716,6,149,private
724,6,150,sector
735,6,152,government
750,6,154,recommended
776,6,158,adopted
790,6,160,possible
800,7,162,It
806,7,164,expected
820,7,166,lost
825,7,167,time
854,7,173,Saturday
863,7,174,working
880,7,177,rest
892,7,180,year
899,8,183,According
912,8,185,Pande
918,8,186,Lazarevski
930,8,188,director
946,8,191,government
959,8,193,Crisis
966,8,194,Management
977,8,195,center
994,8,199,fires
1010,8,202,registered
1032,8,205,country
1041,8,207,destroying
1052,8,208,roughly
1066,8,210,hectares
1078,8,212,land
1084,8,214,mainly
1091,8,215,forests
1101,9,218,Health
1108,9,219,services
1122,9,221,seen
1130,9,223,increase
1142,9,225,emergency
1152,9,226,calls
1166,9,229,Red
1170,9,230,Cross
1180,9,232,teams
1189,9,234,stand
1200,10,239,Meteorologists
1220,10,241,explained
1239,10,244,soaring
1247,10,245,temperatures
1264,10,247,caused
1276,10,250,heat
1281,10,251,mass
1291,10,253,Africa
1308,10,257,predicted
1323,10,259,temperatures
1341,10,261,start
1347,10,262,dropping
1361,10,264,weekend
1371,11,267,At
1387,11,270,people
1394,11,271,died
1406,11,274,European
1415,11,275,heatwave
